,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.22_P,GLC_CHEM_mu=0.26_P,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.31_P,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.36_P,GLC_CHEM_mu=0.40_V,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.41_P,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GLC_CHEM_mu=0.46_P,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.49_V,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.51_P,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,GLC_BATCH_mu=0.58_S,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S
MALTATr_reverse,,3.6018069100538703e-07,4.6448641147753494e-07,,,,5.69223543477372e-07,,3.01916167460398e-07,,,3.35462408289331e-07,,2.5763512956620604e-07,,,3.01123736574675e-07,6.436197368341821e-07,4.4941719583799706e-07,,2.70657170324347e-07,3.8883142778990704e-07,,2.17e-07,,1.6953476547955502e-07,,2.41e-07,,2.95796245147012e-07,8.10513201235968e-08
PLIPA2A141pp,,6.35612984127154e-08,6.77376016738073e-08,,,,8.199999999999999e-08,,6.56339494479126e-08,2.48475074650379e-07,,6.289920155424959e-08,,5.63576845926077e-08,,,5.5470162000598096e-08,5.85108851667438e-08,6.91411070519996e-08,,6.86173107864541e-08,8.00535292508631e-08,,5.98594631891744e-08,,8.657094407466611e-08,6.49282080559996e-08,7.4415956768408e-08,7.556491108223849e-08,7.47990504969455e-08,6.416562843118079e-08
ALCD19,3.38146107555646e-06,1.84857442883647e-06,1.79020804423634e-06,1.57175158946435e-06,3.4418443090485396e-06,1.6032269812101801e-06,1.9444676245187e-06,1.4411235717066098e-06,2.34094419697555e-06,1.48863538709531e-06,2.71221357101924e-06,1.70666500217197e-06,1.3629054251781401e-06,2.13354091672015e-06,2.33985029781809e-06,1.31319114153346e-06,2.3931412748829497e-06,1.8294403428801899e-06,1.7438923667559898e-06,1.26557554621703e-06,2.56171293602762e-06,3.24788604389216e-06,2.23417963920695e-06,1.72470078313809e-06,1.20571424895189e-06,1.55466987067421e-06,1.7819185988702098e-06,1.95253296092347e-06,2.2222953395549197e-06,1.66937880881819e-06,1.567e-06
PPM2,1.0405999999999998e-05,7.585e-06,6.92375057108701e-06,8.70033926979726e-06,7.5126806336395705e-06,8.15029880400655e-06,7.823408381553e-06,6.925701491063071e-06,5.806416727825341e-06,6.46955195602607e-06,5.9427165628455e-06,5.91252494609946e-06,5.59172666634913e-06,4.13423871975772e-06,4.92123352960449e-06,5.26472327810194e-06,5.43211372163e-06,4.911e-06,4.73232466044797e-06,4.61954299769384e-06,4.5211183662630305e-06,5.24922427516374e-06,4.2217944083212305e-06,4.96459422825215e-06,3.99660270623079e-06,5.151e-06,8.43705992461017e-06,3.58614039283947e-06,9.98487256891214e-06,4.13094756153585e-06,6.95015070059843e-06
TDPDRE,8.302694605160949e-07,6.25e-07,6.72537616618515e-07,5.06e-07,9.56067863624594e-07,5.95256489145615e-07,8.47e-07,,8.007341832645341e-07,,1.17244111697121e-06,6.918912170967461e-07,5.36547919736551e-07,6.96419959608652e-07,1.0063872248679899e-06,5.209183115158979e-07,1.0222358425824498e-06,1.01028795054578e-06,7.56711004957995e-07,,8.46280166366268e-07,8.92e-07,1.02651496936535e-06,6.88383826675505e-07,4.67385139906043e-07,9.450661394817721e-07,7.17817411285773e-07,8.93e-07,7.17866655281265e-07,9.75787613301062e-07,6.14639177603943e-07
LIPAabcpp,3.47203592579458e-07,6.72690408201238e-07,6.628608163794e-07,2.79467740679611e-07,3.47203592579458e-07,2.93355542962904e-07,3.0965760765169e-07,2.8460766941426303e-07,3.58798923648589e-07,3.0876383002892897e-07,3.12e-07,6.37378575749729e-07,2.86e-07,4.71e-07,3.06948103584738e-07,2.8327742275840604e-07,3.6055605300388706e-07,3.9007256777829203e-07,6.06905273011996e-07,3.42210921252e-07,4.46e-07,4.917573939695879e-07,2.51596806216998e-07,5.686649002971561e-07,3.24198803079047e-07,5.05e-07,3.2100000000000003e-07,5.38629782323715e-07,2.81651032215616e-07,5.813926197717129e-07,2.2626826867837401e-07
IGPDH,3.83433532674706e-06,5.122e-06,6.4157185585334605e-06,4.0571506162980695e-06,4.32243313080803e-06,3.93881240499705e-06,6.288781708338009e-06,4.05348117969745e-06,3.7761398915699097e-06,4.39287567703851e-06,5.11747903845375e-06,5.55190285718843e-06,4.76639970526668e-06,5.93768462672116e-06,6.4710698559012e-06,4.88875005488289e-06,5.51135681020228e-06,5.6560522327852405e-06,4.97047736251597e-06,4.82405855331819e-06,8.67627774166498e-06,7.1552606858985795e-06,6.622e-06,6.01587605051202e-06,5.299264327601439e-06,5.757e-06,4.38986828911953e-06,9.90086586718724e-06,4.399938686197609e-06,6.54151696164196e-06,8.01394927722063e-06
TDPDRR,1.01141916099233e-06,1.23944531904795e-06,1.52409603766066e-06,2.14711999045392e-06,1.27307983945801e-06,1.97451409203541e-06,1.47542742469335e-06,2.041e-06,2.2184274913394503e-06,2.39136378090273e-06,1.44919760380991e-06,1.87858948642026e-06,2.39032127255037e-06,1.91616127614866e-06,1.3535908174474501e-06,2.30487585630657e-06,2.4644600545979998e-06,2.66419563792574e-06,2.05118617587599e-06,2.40343210606446e-06,2.19194187234506e-06,2.07757968770097e-06,1.575e-06,2.009e-06,2.5864391096399103e-06,2.4600576607884302e-06,2.4492362927791e-06,2.69669252860755e-06,2.30129501932272e-06,2.3765698316983996e-06,2.53623089220088e-06
UGLT_reverse,,4.07851664814924e-07,4.40294410879747e-07,3.15677898439062e-07,,3.24176564550564e-07,3.602e-06,3.03322438127873e-07,4.46310856245806e-07,2.79581753630642e-07,,4.822272119159139e-07,3.6299999999999995e-07,6.9239441070918e-07,,2.5648320166117396e-07,4.75458531433698e-07,4.5248417862281893e-07,5.76175892099996e-07,2.35e-07,5.60374704756042e-07,5.26066049362815e-07,,4.0779259297625e-07,2.33648504579632e-07,4.90568683089775e-07,4.76140192410664e-07,5.350861653347429e-07,3.95e-07,3.74e-07,5.67359240865178e-07
PSSA120,4.78537125424731e-06,3.5541359362443397e-06,2.69982726671318e-06,1.85934524779358e-06,4.896073848982791e-06,1.9456914243638804e-06,1.48908878973681e-06,1.74305266364463e-06,1.23829384625062e-06,1.61417471334907e-06,3.29088622531834e-06,2.7046656668327303e-06,1.3999071587451e-06,1.84370139595816e-06,2.68705389039754e-06,1.305e-06,1.5650509993025899e-06,1.6305033333132601e-06,1.59024546219599e-06,1.07605054465552e-06,1.4752721819087601e-06,1.5057687644805201e-06,2.1134131722227903e-06,2.18112918995554e-06,1.07064445712173e-06,9.52280384821327e-07,6.34853589880885e-07,1.04891062873566e-06,8.003011037346159e-07,1.36678264998964e-06,8.138903395744509e-07
GALM2pp,4.34256087530539e-06,4.4334005642869e-06,4.84323851967722e-06,3.93652217062701e-06,4.20669859994821e-06,3.90171783328343e-06,1.4107636301543201e-05,4.4448554426706e-06,4.9444241917427494e-06,3.70477779593205e-06,3.79407983775234e-06,4.65454091501447e-06,3.7767441966235497e-06,4.2992862246360706e-06,3.91987824086084e-06,3.6465146273683098e-06,4.925e-06,4.9344179823954e-06,5.4698298023359706e-06,3.58970353264495e-06,5.56181424652425e-06,5.29115707619991e-06,3.6280000000000002e-06,4.366e-06,3.34130064768847e-06,4.88765121754886e-06,6.482000000000001e-06,4.394085066325039e-06,4.86019769006215e-06,4.34854479934515e-06,9.06423930048891e-06
PGAMT,4.8407225516150495e-06,5.99594915026615e-06,5.777000000000001e-06,4.56446832360299e-06,4.98664869922091e-06,4.43332712215493e-06,4.2395769518194705e-06,4.20858107919959e-06,3.18980994316855e-06,4.6819046809732595e-06,4.96148901859921e-06,5.25417996983165e-06,4.8605519259322196e-06,4.48848702291125e-06,4.564e-06,4.605e-06,3.982e-06,3.71349084524934e-06,4.76689521397397e-06,4.6417520224383e-06,4.20852839490252e-06,4.55923909447773e-06,4.408e-06,5.39857533637366e-06,4.65049182132207e-06,4.75779480143686e-06,4.025548899471981e-06,3.8519116670123595e-06,4.6506768002432195e-06,4.868738195983e-06,5.41692989492705e-06
