,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.22_P,GLC_CHEM_mu=0.26_P,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.31_P,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.36_P,GLC_CHEM_mu=0.40_V,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.41_P,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GLC_CHEM_mu=0.46_P,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.49_V,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.51_P,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,GLC_BATCH_mu=0.58_S,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S
MPTSS,,1.74793570634967e-07,,,,,1.41167438782388e-07,,2.84413780940955e-07,,,2.72563206735082e-07,,1.73098602677295e-07,,,9.509170628673961e-08,2.14539912278061e-07,2.22788011611999e-07,,1.33422548751439e-07,,,1.90802038915493e-07,,,,3.3309999696335e-07,5.1521530283344405e-08,,1.25e-07
R5PP,,1.53606471164062e-07,1.54828803825845e-07,2.4e-07,,2.50070128810621e-07,2.96e-07,,2.88789377570816e-07,2.62856385660668e-07,,1.38378243419349e-07,,3.1e-07,,3.01484955395326e-07,2.1e-07,3.16e-07,2.2662918422599897e-07,3.51266119004214e-07,2.89717534431695e-07,2.89717534431695e-07,,2.76850017249931e-07,3.2713795052789304e-07,5.48282645806219e-07,8.259999999999999e-07,4.78388293511194e-07,6.285626694568011e-07,4.21594648255511e-07,5.74113517542144e-07
OGMEACPD,1.0008520951312199e-05,1.51381825719617e-05,1.5903821192985997e-05,9.498e-06,1.35157804299772e-05,9.2248154266429e-06,1.67943714267564e-05,1.04041415496942e-05,1.2220999999999999e-05,1.05096130482629e-05,1.5674481027319e-05,1.61483216790277e-05,1.12837620865282e-05,1.3356771248447999e-05,1.73501157567242e-05,1.2284776698390302e-05,1.21796627135599e-05,1.55912005340983e-05,1.78691350003279e-05,1.2343739835395699e-05,1.6052638651208803e-05,1.8458056601556197e-05,2.03944371119499e-05,1.8706082246617e-05,1.29401279682328e-05,2.0477635396328303e-05,2.1888e-05,1.747e-05,1.7665e-05,1.91451569703773e-05,1.9479333936371103e-05
CFAS160G,5.98800398796456e-07,1.1123227222225199e-07,1.25798403108499e-07,,6.18928143293816e-07,,1.13844708695474e-07,,1.75e-07,,8.20205588267415e-07,1.38378243419349e-07,,1.00638722486799e-07,6.69247504537216e-07,,8.71673974295113e-08,9.751814194457301e-08,1.8053511285799898e-07,,9.530182053674179e-08,1.1436218464409001e-07,8.00077843770055e-07,1.53389874422259e-07,,2.05605992177332e-07,2.70534200233332e-07,2.51596806216998e-07,4.6369377255009995e-07,1.0879861890464802e-07,1.6885691692416e-07
CFAS160E,5.98800398796456e-07,1.1123227222225199e-07,1.25798403108499e-07,,6.18928143293816e-07,,1.13844708695474e-07,,1.75e-07,,8.20205588267415e-07,1.38378243419349e-07,,1.00638722486799e-07,6.69247504537216e-07,,8.71673974295113e-08,9.751814194457301e-08,1.8053511285799898e-07,,9.530182053674179e-08,1.1436218464409001e-07,8.00077843770055e-07,1.53389874422259e-07,,2.05605992177332e-07,2.70534200233332e-07,2.51596806216998e-07,4.6369377255009995e-07,1.0879861890464802e-07,1.6885691692416e-07
ADK4,1.68821456971606e-05,1.19971950754e-05,1.23863043060676e-05,2.2099096313156303e-05,2.20751037774794e-05,2.08942633782962e-05,1.29008823893712e-05,2.25584621489621e-05,1.76424056115989e-05,2.3126136261856303e-05,1.8255864259105397e-05,1.3032714562040499e-05,2.23551918818397e-05,2.07235257344817e-05,1.7174000000000002e-05,2.12536826419599e-05,1.8527e-05,2.2928465534007998e-05,1.4531155998761902e-05,2.0820168349126198e-05,1.40093676189011e-05,1.52978482325578e-05,1.9996914158127e-05,1.1811e-05,2.4491e-05,1.67478705557781e-05,2.4625826466572698e-05,1.87209285527381e-05,1.7977579300201603e-05,1.5153607639313e-05,1.593e-05
ADK3,1.68821456971606e-05,1.19971950754e-05,1.23863043060676e-05,2.2099096313156303e-05,2.20751037774794e-05,2.08942633782962e-05,1.29008823893712e-05,2.25584621489621e-05,1.76424056115989e-05,2.3126136261856303e-05,1.8255864259105397e-05,1.3032714562040499e-05,2.23551918818397e-05,2.07235257344817e-05,1.7174000000000002e-05,2.12536826419599e-05,1.8527e-05,2.2928465534007998e-05,1.4531155998761902e-05,2.0820168349126198e-05,1.40093676189011e-05,1.52978482325578e-05,1.9996914158127e-05,1.1811e-05,2.4491e-05,1.67478705557781e-05,2.4625826466572698e-05,1.87209285527381e-05,1.7977579300201603e-05,1.5153607639313e-05,1.593e-05
ADK1,1.68821456971606e-05,1.19971950754e-05,1.23863043060676e-05,2.2099096313156303e-05,2.20751037774794e-05,2.08942633782962e-05,1.29008823893712e-05,2.25584621489621e-05,1.76424056115989e-05,2.3126136261856303e-05,1.8255864259105397e-05,1.3032714562040499e-05,2.23551918818397e-05,2.07235257344817e-05,1.7174000000000002e-05,2.12536826419599e-05,1.8527e-05,2.2928465534007998e-05,1.4531155998761902e-05,2.0820168349126198e-05,1.40093676189011e-05,1.52978482325578e-05,1.9996914158127e-05,1.1811e-05,2.4491e-05,1.67478705557781e-05,2.4625826466572698e-05,1.87209285527381e-05,1.7977579300201603e-05,1.5153607639313e-05,1.593e-05
PLIPA2E141pp,,6.35612984127154e-08,6.77376016738073e-08,,,,8.199999999999999e-08,,6.56339494479126e-08,2.48475074650379e-07,,6.289920155424959e-08,,5.63576845926077e-08,,,5.5470162000598096e-08,5.85108851667438e-08,6.91411070519996e-08,,6.86173107864541e-08,8.00535292508631e-08,,5.98594631891744e-08,,8.657094407466611e-08,6.49282080559996e-08,7.4415956768408e-08,7.556491108223849e-08,7.47990504969455e-08,6.416562843118079e-08
OGMEACPR,1.82961197481001e-05,9.253465693917822e-06,9.28972822955071e-06,2.07657136754591e-05,1.74557864153354e-05,2.06592885618053e-05,1.15256383083298e-05,2.1986696104565302e-05,1.10308791038792e-05,2.1470882498330302e-05,1.75312654572005e-05,1.04035279370729e-05,2.23098123385183e-05,1.34735121665327e-05,1.77828622634174e-05,2.1756160891733397e-05,1.3289065953571901e-05,1.63752463953327e-05,1.35017217382099e-05,2.17218865547105e-05,1.3311758292572099e-05,1.33384428023224e-05,1.9070999999999997e-05,1.1193719616375599e-05,2.1173833889103197e-05,1.38261011932581e-05,1.3068605432604801e-05,1.65664094234432e-05,1.33269024999584e-05,1.32972312042524e-05,1.09284196633316e-05
OGMEACPS,8.80588821759494e-06,5.81056202989573e-06,6.0189999999999995e-06,4.790725680439219e-06,8.45868462501549e-06,4.50951969177597e-06,5.305163425209111e-06,4.62549918737384e-06,6.48025860882391e-06,4.38848289546414e-06,7.859884226219031e-06,5.77414670268011e-06,4.15678412925547e-06,7.85787145176929e-06,7.11012574369238e-06,4.116785159641e-06,6.6445329767859295e-06,4.755e-06,6.83728725291996e-06,4.22687321860067e-06,7.22006592386356e-06,5.23778805669933e-06,7.849820353970351e-06,5.43972871731622e-06,4.1909305834288905e-06,5.92650254644485e-06,5.43593386335508e-06,7.51246801662023e-06,7.1924056275548796e-06,5.3685318515762195e-06,5.548638290127901e-06
GLYALDtpp,,6.19722659523975e-07,6e-07,,,,3.50641702782061e-07,,3.06291764090259e-07,,,5.2e-07,,3.30095009756702e-07,,,2.65464346717148e-07,1.9893700956692898e-07,2.34311529453999e-07,,4.9137618668744106e-06,3.05e-07,,3.40450696888429e-07,,4.50890333722219e-07,3.82355002996442e-07,1.6300000000000002e-07,5.39258683632338e-07,2.61796676739309e-07,5.20079304126413e-07
FEROpp,2.57635129566206e-06,2.2564260936514e-06,2.49661446169175e-06,1.30489247843753e-06,2.26940319207733e-06,1.21e-06,3.3106041288643995e-06,1.33539198538335e-06,2.83976221277969e-06,1.38630305250232e-06,2.84807584637642e-06,2.62918662496763e-06,1.4897370964725599e-06,3.13590259268867e-06,2.92858682436586e-06,1.32779356176833e-06,4.009700281757521e-06,3.1283819935819e-06,2.00125093189399e-06,1.40257754893873e-06,3.793e-06,3.0801548397474997e-06,2.75246906001396e-06,2.70864070931014e-06,1.49389509773172e-06,2.222e-06,1.75306161751199e-06,3.6640999665968498e-06,4.23850455797647e-06,2.23377164438605e-06,3.66081795891579e-06
PLIPA1G161pp,,6.35612984127154e-08,6.77376016738073e-08,,,,8.199999999999999e-08,,6.56339494479126e-08,2.48475074650379e-07,,6.289920155424959e-08,,5.63576845926077e-08,,,5.5470162000598096e-08,5.85108851667438e-08,6.91411070519996e-08,,6.86173107864541e-08,8.00535292508631e-08,,5.98594631891744e-08,,8.657094407466611e-08,6.49282080559996e-08,7.4415956768408e-08,7.556491108223849e-08,7.47990504969455e-08,6.416562843118079e-08
PROt4pp,,8.792646280425631e-07,7.790000000000001e-07,2.62891735880957e-07,,,3.05103819303871e-07,,2.0565304160346e-07,5.57084564578474e-07,,8.72202261552261e-07,,3.3814610755564605e-07,,3.5210310887155e-07,3.56593898575273e-07,3.198595055782e-07,4.18687814925998e-07,,2.3253644210965e-07,4.07891791897255e-07,,5.686649002971561e-07,,2.12820237516888e-07,1.73141888149332e-07,2.72858508150829e-07,1.4769505347892099e-07,1.87e-07,2.46531098709274e-07
APG3PAT180,,1.1123227222225199e-07,8.22528020324803e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA161abcpp,3.47203592579458e-07,6.72690408201238e-07,6.628608163794e-07,2.79467740679611e-07,3.47203592579458e-07,2.93355542962904e-07,3.0965760765169e-07,2.8460766941426303e-07,3.58798923648589e-07,3.0876383002892897e-07,3.12e-07,6.37378575749729e-07,2.86e-07,4.71e-07,3.06948103584738e-07,2.8327742275840604e-07,3.6055605300388706e-07,3.9007256777829203e-07,6.06905273011996e-07,3.42210921252e-07,4.46e-07,4.917573939695879e-07,2.51596806216998e-07,5.686649002971561e-07,3.24198803079047e-07,5.05e-07,3.2100000000000003e-07,5.38629782323715e-07,2.81651032215616e-07,5.813926197717129e-07,2.2626826867837401e-07
CRNCDH,,5.8264523544989094e-08,1.69344004184518e-07,,,,,,5.2507159558330095e-08,,,1.51e-07,,,,,6.33944708578264e-08,8.581596491122429e-08,,,,,,1.04754060581055e-07,,,,2.09073402349337e-07,6.52606050255696e-08,,
GLYAT_reverse,1.40894211481519e-07,3.39e-07,3.24172808010363e-07,2.6272669119597503e-07,,,3.96179586260251e-07,,6.38837107959683e-07,1.89805360374188e-07,1.40894211481519e-07,3.1868928787486503e-07,1.96e-07,4.911169657355811e-07,9.05748502381194e-08,1.99862446114523e-07,5.19e-07,4.914914354006479e-07,4.34052505381997e-07,,4.1170386471872503e-07,4.3838837446901207e-07,7.54790418650995e-08,3.8534529428031e-07,1.5935607968219301e-07,6.49282080559996e-07,5.80746749834219e-07,6.095021221031511e-07,6.87e-07,4.89593785070916e-07,4.2551943064888294e-07
AMMQLT8,3.3613333310591e-06,2.84966487883674e-06,2.99980807412575e-06,4.13107477519894e-06,3.7186007958872398e-06,4.15939704768328e-06,2.7368267970392e-06,3.88579782351299e-06,2.5028412722804003e-06,4.26075932832029e-06,3.40158882005382e-06,3.2078592792667303e-06,4.62326800161838e-06,3.27277125527072e-06,3.316e-06,4.298e-06,3.1657613884627e-06,3.27270884365987e-06,3.18049092439198e-06,4.28960256348125e-06,2.97722887356781e-06,2.59220951859938e-06,3.35630139493476e-06,3.00045559235736e-06,4.21959928503548e-06,2.727e-06,2.0127744497359903e-06,3.292e-06,2.2222953395549197e-06,2.84236391888393e-06,3.4210000000000004e-06
UAAGDS,4.57906187314937e-07,1.07524529814844e-06,1.0741248265418e-06,4.24197065224931e-07,7.59822354775335e-07,3.98102487447466e-07,1.37524408104133e-06,4.56921270556905e-07,2.2271786845991697e-06,3.5200000000000003e-07,5.48481037553057e-07,1.16153858870181e-06,4.24234661447393e-07,2.0248510964344e-06,5.93768462672116e-07,4.310661266890579e-07,1.5690000000000001e-06,1.3691547129018101e-06,1.32136337921599e-06,4.6046755746847706e-07,1.4333393808726002e-06,1.5095808373019899e-06,7.245988019049559e-07,1.26078994342198e-06,4.93198141207204e-07,1.66649067343732e-06,1.48974166261821e-06,1.8143318983535702e-06,2.00933968105043e-06,1.4790000000000002e-06,2.02290586475144e-06
M1PD,6.59183632288536e-06,4.66116188359913e-06,3.295e-06,2.60911878336722e-06,4.95142514635053e-06,2.7488184482562303e-06,4.704063363297e-06,2.22166117808662e-06,4.2312019410754405e-06,1.98542084741916e-06,3.40158882005382e-06,3.00238855418951e-06,1.83467222161891e-06,2.2744351282016702e-06,2.6568622736515e-06,1.5163389354526801e-06,3.96215442861415e-06,3.32731900314883e-06,3.56844935840598e-06,1.421e-06,3.83494525839849e-06,3.43848968496564e-06,2.0882534916010897e-06,2.862e-06,1.23573883203705e-06,2.84962690912443e-06,3.53137309371242e-06,2.56912231700456e-06,3.74389786725636e-06,2.49216836428459e-06,4.06945169787226e-06
FA161ACPHi,,,7.2576001793365e-07,,,,8.199999999999999e-08,,,,,6.70924816578663e-08,,5.63576845926077e-08,,,1.54524022715952e-07,7.8e-08,1.42123386717999e-07,,1.1436218464409001e-07,,,,,,6.85353307257773e-08,7.8e-08,9.960829188113249e-08,,1.21576980185395e-07
ACONMT,1.32843113682575e-06,1.85916797857193e-06,1.7418240430407601e-06,,1.17244111697121e-06,,1.36613650434569e-06,,8.007341832645341e-07,,7.74918163148355e-07,1.3586227535717899e-06,,4.3475928114297296e-07,4.98161676309657e-07,,8.4e-07,5.0709433811178e-07,4.99352439819997e-07,,6.51864452471314e-07,4.3457630164754297e-07,2.9185229521171797e-07,5.98594631891744e-07,,3.57105144307998e-07,6.45674957890218e-07,3.43730847930266e-07,7.0412758053904e-07,2.3800000000000001e-07,5.67359240865178e-07
IPMD,2.0007e-05,3.65795272365177e-05,3.04528903524959e-05,2.34786064101074e-05,2.8037948084822302e-05,2.460640608243e-05,3.49776482995975e-05,2.42576212184507e-05,3.1701197583341805e-05,2.3004000000000002e-05,2.4248900183194298e-05,2.59354374408689e-05,2.2e-05,1.20162634649238e-05,1.7601712562941198e-05,1.93337163333602e-05,1.76632844427619e-05,1.71748951592782e-05,1.64171717522359e-05,1.89606175905057e-05,1.9182350437635396e-05,1.6323295821533098e-05,1.63336646596075e-05,2.0408335731059102e-05,1.71331371274681e-05,2.49432532615132e-05,4.40898603926935e-05,1.6258114745402696e-05,1.6085e-05,1.7084783124870498e-05,2.12219373190284e-05
ENTERES,,,,,,,,,,,,,,,,,,,,,,,,,,1.65927642809777e-07,2.48891464214665e-07,,,,
DHDPRy,2.9839381217336e-06,4.5128521873027905e-06,4.72711691680784e-06,2.88614048738488e-06,3.38146107555646e-06,2.456e-06,4.863445955470671e-06,2.48145217159178e-06,7.084090943744701e-06,2.5805974893192798e-06,3.316e-06,4.56228875273491e-06,2.80114472767593e-06,6.6582578797266506e-06,3.2355349279506e-06,3.0796309907658297e-06,4.8457148661951e-06,4.34930913072796e-06,6.34945833094196e-06,3.6836528018767305e-06,6.682563656036341e-06,5.90490080045652e-06,5.515e-06,5.48836453115742e-06,4.39643453283184e-06,7.34049463299773e-06,9.6165890376275e-06,1.0921427560011099e-05,1.3539858158462899e-05,7.75870151063771e-06,1.3768593005995999e-05
O16AT,,8.36890429100753e-07,7.209216178140921e-07,,,,5.3279323669482e-07,,5.250715955833009e-07,,,7.71563539065462e-07,,4.0255488994719794e-07,,,5.745123921490521e-07,5.42200869211826e-07,5.87699409941996e-07,,2.70657170324347e-07,4.650728842193e-07,,3.92827727178957e-07,,2.85e-07,9.01780667444439e-08,1.45288296547844e-07,1.92347046391152e-07,2.44796892535458e-07,1.25e-07
PE181abcpp,3.47203592579458e-07,6.72690408201238e-07,6.628608163794e-07,2.79467740679611e-07,3.47203592579458e-07,2.93355542962904e-07,3.0965760765169e-07,2.8460766941426303e-07,3.58798923648589e-07,3.0876383002892897e-07,3.12e-07,6.37378575749729e-07,2.86e-07,4.71e-07,3.06948103584738e-07,2.8327742275840604e-07,3.6055605300388706e-07,3.9007256777829203e-07,6.06905273011996e-07,3.42210921252e-07,4.46e-07,4.917573939695879e-07,2.51596806216998e-07,5.686649002971561e-07,3.24198803079047e-07,5.05e-07,3.2100000000000003e-07,5.38629782323715e-07,2.81651032215616e-07,5.813926197717129e-07,2.2626826867837401e-07
ASAD_reverse,2.7388828324782503e-05,1.36444920592629e-05,1.7311795627777302e-05,2.22423285615482e-05,3.71205927892559e-05,2.30403221131006e-05,2.1207e-05,2.39802478819748e-05,3.64180907503318e-05,2.6246737627452102e-05,4.09046087547596e-05,2.0681257471037303e-05,2.7671945958128997e-05,3.31946762250459e-05,4.7541732502764e-05,2.95845431409266e-05,2.3321240966822897e-05,2.41376904941207e-05,2.3761493790203898e-05,3.411e-05,3.4079931023938896e-05,2.2331122588169298e-05,5.74445827954651e-05,2.9806271451759497e-05,3.84076940225646e-05,3.73192911415207e-05,4.341893557611479e-05,4.87920623211528e-05,5.4839516833591794e-05,3.66923342255925e-05,4.1089642164325105e-05
PGCD,1.9070999999999997e-05,1.7738899032015302e-05,2.0006784494370897e-05,3.09477407997322e-05,2.3333087808564397e-05,3.23391566467719e-05,1.86887473794491e-05,3.47705104579056e-05,2.0399000000000002e-05,3.83598769733358e-05,2.84203752302721e-05,2.55496556713362e-05,4.273993244093879e-05,2.45518227378796e-05,4.0185e-05,4.8040441538704e-05,1.9299654221779502e-05,1.68706385564111e-05,2.89701238547878e-05,5.7367e-05,2.31202216622136e-05,1.1470527119802199e-05,4.6328999999999996e-05,3.6248646177494395e-05,6.98740502211208e-05,4.2946402506374e-05,3.956652856479221e-05,4.0230683675797e-05,4.8461151384513705e-05,2.61184684507971e-05,3.47642620563461e-05
3OXCOAT,,,,,,,,,5.6882756188190904e-08,,,,,,,,,,,,,,,,,,,6.37851058014926e-08,,,
HEPT2,,1.64200020899515e-07,3.33849608249479e-07,,,,2.45904570782225e-07,,2.40657814642346e-07,,,2.3482368580253201e-07,,3.74376047650894e-07,,,7.646958047225309e-07,4.6028562997838497e-07,5.223994755039971e-07,,9.87326860760645e-07,,,1.94543255364817e-07,,,4.58104579061775e-07,6.69743610915672e-07,4.74e-07,,3.5799999999999995e-07
FBA3_reverse,5.5089636689273996e-05,3.74323079902216e-05,4.0105498591013504e-05,4.53372603027567e-05,4.8034862242949296e-05,4.44801828415979e-05,5.1448700753658794e-05,4.3216827577409793e-05,4.96717729421803e-05,4.35772997949755e-05,4.6812101764734706e-05,3.9337160652027705e-05,4.41966523757849e-05,5.612822830533771e-05,4.8402193580026203e-05,4.4759878591335206e-05,5.4844141600877005e-05,4.88097804060977e-05,5.4828897892235705e-05,4.58826594227693e-05,5.95598257626422e-05,4.0819675772297295e-05,5.9708999999999994e-05,5.09404031739874e-05,4.6067e-05,6.2782e-05,8.55861995858168e-05,7.1046e-05,8.04938041460117e-05,8.33431420378011e-05,5.53546745060781e-05
PLIPA1E161pp,,6.35612984127154e-08,6.77376016738073e-08,,,,8.199999999999999e-08,,6.56339494479126e-08,2.48475074650379e-07,,6.289920155424959e-08,,5.63576845926077e-08,,,5.5470162000598096e-08,5.85108851667438e-08,6.91411070519996e-08,,6.86173107864541e-08,8.00535292508631e-08,,5.98594631891744e-08,,8.657094407466611e-08,6.49282080559996e-08,7.4415956768408e-08,7.556491108223849e-08,7.47990504969455e-08,6.416562843118079e-08
APG3PAT161,,1.1123227222225199e-07,8.22528020324803e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APG3PAT160,,1.1123227222225199e-07,8.22528020324803e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UHGADA,,5.35e-07,5.951232147055921e-07,7.101421138597071e-07,,3.90294501790228e-07,6.05653850259924e-07,3.6365366953146603e-07,3.9380369668747603e-07,2.7157426992268894e-07,,4.1513473025804794e-07,,4.38784830042445e-07,,2.4679601385027497e-07,5.15080075719839e-07,4.2517909887833903e-07,4.57099541065997e-07,2.8188796104007303e-07,4.3838837446901207e-07,4.84133248326649e-07,,3.70380428483016e-07,2.68348565610582e-07,3.8956924833599794e-07,5.44675523136441e-07,4.64213825555307e-07,3.2973779381340397e-07,3.4e-07,6.517876993272581e-07
CYTK1,2.043e-06,2.52126483703771e-06,2.17728005380095e-06,1.0209999999999998e-06,1.86684830213013e-06,1.08686295018022e-06,2.99183894451707e-06,9.95e-07,2.34094419697555e-06,1.03167833807016e-06,1.54983632629671e-06,1.9456819680781202e-06,8.96486969235791e-07,2.66088782255098e-06,1.49448502892897e-06,9.98230006879909e-07,2.42880066474047e-06,2.55107459327003e-06,2.4929210264859798e-06,9.68157323041325e-07,2.7523165771011004e-06,2.48547147959823e-06,1.7058263461512501e-06,2.10256364451975e-06,1.0601366951533702e-06,2.8207699277662e-06,4.1986907876213095e-06,3.36643613952322e-06,3.08785704831511e-06,2.45816879587689e-06,3.4210000000000004e-06
CYTK2,2.043e-06,2.52126483703771e-06,2.17728005380095e-06,1.0209999999999998e-06,1.86684830213013e-06,1.08686295018022e-06,2.99183894451707e-06,9.95e-07,2.34094419697555e-06,1.03167833807016e-06,1.54983632629671e-06,1.9456819680781202e-06,8.96486969235791e-07,2.66088782255098e-06,1.49448502892897e-06,9.98230006879909e-07,2.42880066474047e-06,2.55107459327003e-06,2.4929210264859798e-06,9.68157323041325e-07,2.7523165771011004e-06,2.48547147959823e-06,1.7058263461512501e-06,2.10256364451975e-06,1.0601366951533702e-06,2.8207699277662e-06,4.1986907876213095e-06,3.36643613952322e-06,3.08785704831511e-06,2.45816879587689e-06,3.4210000000000004e-06
AGPAT160,,2.0127744497359897e-07,2.46758406097441e-07,,,5.37006335926694e-08,1.36613650434569e-07,,1.09389915746521e-07,,,2.9352960725316503e-07,,1.85175249375711e-07,,5.344605160896481e-08,1.0300000000000001e-07,1.13121044655705e-07,2.22788011611999e-07,,1.5248291285878699e-07,1.41e-07,,3.18e-07,,2.3446297353555398e-07,1.2624929344222098e-07,1.52375530525788e-07,1.44260284793364e-07,2.27797108331607e-07,1.5534836357022702e-07
AGPAT161,,2.0127744497359897e-07,2.46758406097441e-07,,,5.37006335926694e-08,1.36613650434569e-07,,1.09389915746521e-07,,,2.9352960725316503e-07,,1.85175249375711e-07,,5.344605160896481e-08,1.0300000000000001e-07,1.13121044655705e-07,2.22788011611999e-07,,1.5248291285878699e-07,1.41e-07,,3.18e-07,,2.3446297353555398e-07,1.2624929344222098e-07,1.52375530525788e-07,1.44260284793364e-07,2.27797108331607e-07,1.5534836357022702e-07
ECA4OALpp,,,,,,,,,,,,,,,,,,,,,,,,5.6118246739851e-08,,,,,,,
PUNP2_reverse,8.9266546845791e-06,1.14463304891565e-05,1.2207283501644e-05,2.2704376561408603e-05,1.0149415162793699e-05,2.4251647833986802e-05,1.24819338613718e-05,2.28863483616483e-05,9.81008764414801e-06,2.2541e-05,9.616e-06,1.12925033190396e-05,2.2225802105507998e-05,8.80387544314521e-06,1.01997345240371e-05,2.0171e-05,1.22787165742752e-05,1.27124649838945e-05,1.0352e-05,1.88270933557518e-05,1.2926738937603699e-05,1.18593585475922e-05,7.54790418650995e-06,1.13882628717404e-05,1.8021e-05,1.0399334656969301e-05,1.0370477675611e-05,9.79455735751808e-06,9.97456826285547e-06,1.09750606820064e-05,1.0658248596253e-05
TREHpp,8.74047304797853e-06,1.46190986349245e-06,9.483264234333022e-07,6.6155874752237e-07,4.408e-06,8.048917968748659e-07,7.92359172520502e-07,6.16736042790722e-07,6.38837107959683e-07,8.16872853735487e-07,2.31972255332073e-06,6.415718558533461e-07,4.64509778691974e-07,4.26708183344029e-07,1.5095808373019899e-06,2.42319411273223e-07,8.00355194580058e-07,4.68087081333951e-07,5.03193612433997e-07,3.6385214205296704e-07,5.108177580769361e-07,5.26066049362815e-07,1.18250498921989e-06,4.0405137652692706e-07,1.91580007568733e-07,1.9478462416799897e-07,3.8956924833599794e-07,2.3387872127213897e-07,4.4308516043676206e-07,1.9039758308313399e-07,2.36399683693824e-07
NODOy,,2.1716776957677802e-07,3.43526408488594e-07,,,,2.45904570782225e-07,,1.9252625171387698e-07,,,4.1513473025804794e-07,,3.42171656455118e-07,,,4.0413975171864294e-07,4.1347692184499003e-07,4.1484664231199705e-07,,3.20214117003453e-07,5.375022678272239e-07,,5.387351687025691e-07,,6.06e-07,3.66122950982442e-06,5.28e-07,4.808676159778811e-07,4.42e-07,7.76741817851136e-07
NODOx,,2.1716776957677802e-07,3.43526408488594e-07,,,,2.45904570782225e-07,,1.9252625171387698e-07,,,4.1513473025804794e-07,,3.42171656455118e-07,,,4.0413975171864294e-07,4.1347692184499003e-07,4.1484664231199705e-07,,3.20214117003453e-07,5.375022678272239e-07,,5.387351687025691e-07,,6.06e-07,3.66122950982442e-06,5.28e-07,4.808676159778811e-07,4.42e-07,7.76741817851136e-07
KDOPS,1.22678602711408e-05,8.84561402910289e-06,9.90420504473454e-06,1.6811691892967902e-05,1.22225728460218e-05,1.7264743942382198e-05,1.05556813902444e-05,1.74430596307733e-05,1.17397257579166e-05,1.67639366676107e-05,1.2418818354871e-05,1.1158318355723899e-05,1.67774236875921e-05,9.95920797729367e-06,1.19256886146857e-05,1.6339425713228e-05,1.1589301703696401e-05,9.31493291854562e-06,1.07783303548839e-05,1.61861842118504e-05,1.22291296112747e-05,7.849057939406059e-06,1.2454000000000001e-05,1.2435803477551e-05,1.54473735488331e-05,1.0695118715891e-05,1.26465720802408e-05,9.37286693583044e-06,9.86465566491767e-06,9.79867561509986e-06,1.4315689416830301e-05
DCTPD,,1.7108582822755899e-06,2.1482496530836e-06,9.88e-07,,9.15084073597571e-07,2.1402805234749198e-06,8.5545996446984e-07,2.47221209587138e-06,7.872863163453191e-07,,2.00858116963237e-06,7.02463862266989e-07,2.1415920145190897e-06,,6.94560626553443e-07,2.75369732788683e-06,1.98156864431372e-06,2.37768584806598e-06,5.59771444971236e-07,1.94034506612806e-06,2.1614452897733e-06,,1.6798061857462099e-06,5.22565181329381e-07,2.1967377058946497e-06,2.4456291701093203e-06,1.81787551534254e-06,2.17764334664269e-06,1.63877919725126e-06,1.69194630758008e-06
GLUABUTt7pp_reverse,3.47706786191892e-06,3.92e-07,3.04819207532133e-07,,1.80143313251371e-06,,8.199999999999999e-08,,6.12583528180518e-07,,7.296307380292959e-07,2.89336327149548e-07,,1.2881756478310302e-07,1.31836726457707e-06,,1.94145567002093e-07,5.46101594889609e-08,4.1484664231199705e-07,,1.2199999999999998e-07,,7.547904186509949e-07,2.43179069206021e-07,,5.77139627164441e-08,2.30855850865776e-07,2.19704253316252e-07,4.38963438014094e-06,,1.08068426831462e-07
CD2abcpp,,,5.32224013151343e-08,1.0692767973797199e-06,,2.12026570047831e-06,,1.0668021621888599e-06,,9.00590129640707e-07,,,9.33737335959107e-07,,,1.05945135454444e-06,,,5.37764165959997e-08,2.71164917770243e-06,,,,8.230676188511469e-08,2.76285787002547e-06,,6.13210853862218e-08,,8.243444845335099e-08,5.0999999999999993e-08,6.7542766769664e-08
