,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.22_P,GLC_CHEM_mu=0.26_P,GLC_CHEM_mu=0.31_P,GLC_CHEM_mu=0.36_P,GLC_CHEM_mu=0.41_P,GLC_CHEM_mu=0.46_P,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.35_S,PYR_BATCH_mu=0.40_S,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.50_S,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,GLC_BATCH_mu=0.58_S,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.40_V,GLC_CHEM_mu=0.49_V
GSNt2pp,,,,,,,,,,,,,,,,,,,,,,,,,,1.1784794403204207e-07,,,,
UACGAMPpp,1.2846663865274104e-06,1.3665306566456138e-06,1.1683849172757276e-06,1.1925344682073032e-06,1.2832440140372043e-06,9.78395248214967e-07,1.0011758659387434e-06,7.399859328957003e-07,7.702007230317864e-07,7.601866578431608e-07,6.56098836664484e-07,6.999632812962078e-07,6.346076562572594e-07,7.428247122765807e-07,7.095810080454914e-07,8.497057939429347e-07,7.329853621121887e-07,6.313745610559146e-07,6.480348072695523e-07,7.444019053620354e-07,6.099283722327207e-07,6.43963797320902e-07,7.180899152458261e-07,5.027006186920852e-07,7.728412230701879e-07,3.1263419140524227e-06,2.552097363542745e-06,2.624808840539458e-06,2.288725826794791e-06,2.035116246128057e-06
PSD140,1.6955373327642e-06,1.4956138339875307e-06,1.6156668263419256e-06,1.5859484286104243e-06,1.4214425713359608e-06,1.4192803961308706e-06,1.3704394612078004e-06,2.8585369767401816e-06,2.4816638053223204e-06,2.4465000209240052e-06,1.978863575854566e-06,2.2996157752238836e-06,3.0362300019377414e-06,2.2719191601394956e-06,2.5714168776796687e-06,2.4630751152752046e-06,2.8022356706982495e-06,2.7451880009249563e-06,2.1753490105413356e-06,2.386995391112081e-06,2.265669820114106e-06,2.8705423780865037e-06,2.096342371855572e-06,2.8270811128846663e-06,2.2527032429935266e-06,5.056894527516695e-06,4.409384987036628e-06,3.572372732113918e-06,3.3631448280638612e-06,3.1360032314111554e-06
PSD141,1.6955373327642e-06,1.4956138339875307e-06,1.6156668263419256e-06,1.5859484286104243e-06,1.4214425713359608e-06,1.4192803961308706e-06,1.3704394612078004e-06,2.8585369767401816e-06,2.4816638053223204e-06,2.4465000209240052e-06,1.978863575854566e-06,2.2996157752238836e-06,3.0362300019377414e-06,2.2719191601394956e-06,2.5714168776796687e-06,2.4630751152752046e-06,2.8022356706982495e-06,2.7451880009249563e-06,2.1753490105413356e-06,2.386995391112081e-06,2.265669820114106e-06,2.8705423780865037e-06,2.096342371855572e-06,2.8270811128846663e-06,2.2527032429935266e-06,5.056894527516695e-06,4.409384987036628e-06,3.572372732113918e-06,3.3631448280638612e-06,3.1360032314111554e-06
GLYK,2.517460789961779e-06,3.7972735963761546e-06,2.256143080788904e-06,2.3905971052557536e-06,2.4032635701718724e-06,1.3654999673425584e-06,9.613778208830935e-07,2.6970383110232074e-06,2.6162922886490126e-06,9.433855630759178e-07,1.1531666138166759e-06,2.390714785474955e-06,1.2313550251149851e-06,1.362921691126838e-06,1.111979868965577e-06,8.181121491927851e-07,5.309759991568677e-05,1.4933032863543152e-06,1.588782389534167e-06,7.350053508072641e-07,7.37151588795782e-07,8.787638590101741e-07,7.20786208663988e-07,7.216748390218931e-07,8.972043423848319e-07,7.032482969293809e-06,6.255652670418206e-06,3.7429553667290426e-06,1.5338850887825525e-06,7.215293208691081e-07
GUAtex,7.105386547230591e-06,7.141200775387724e-06,7.193498918117656e-06,7.635232681444583e-06,7.80871154690077e-06,7.432442073331432e-06,7.058488714784544e-06,2.0504610029198603e-06,2.2797815603337773e-06,1.132663775753014e-06,1.37376231791111e-06,2.0638905341990744e-06,1.4595030089925592e-06,1.7120865501484599e-06,2.067443120110115e-06,2.2621049641107255e-06,1.432691328492947e-06,2.0284611293963353e-06,2.1974970119213304e-06,1.979318386973799e-06,1.8833869595710593e-06,2.3545031540674834e-06,2.1681977327574093e-06,2.1344419052829506e-06,1.9710161341806426e-06,1.3968151487555318e-06,1.229000079008794e-06,1.1921663065786253e-06,1.1366137317659122e-06,8.122551291909577e-07
HDCEAtexi,8.017381150978566e-06,8.30699618122649e-06,6.503421588354341e-06,5.329758970854922e-06,3.74532542428538e-06,2.765755267420784e-06,1.6080433654043544e-06,1.0423788100941938e-05,9.212434787640779e-06,7.480508118962232e-06,4.760714767238044e-06,7.077837486894529e-06,4.948929306032856e-06,7.806355519888454e-06,4.153902277899422e-06,3.16796870167034e-06,2.5321312509330156e-06,4.9176501811523075e-06,3.0490727001163216e-06,6.385328550040581e-07,1.0028702802649603e-06,8.370023327951413e-07,7.160462278779203e-07,1.081747268243666e-06,7.740907642554266e-07,5.926614367247616e-07,3.985796604089689e-07,2.1375664656196185e-07,9.329209574526301e-08,
UPPDC1,1.0399838445685307e-06,1.0343503030902211e-06,1.1438916919960832e-06,1.111651649739679e-06,1.1709556771911486e-06,1.1175222779009929e-06,1.0019563611652683e-06,,,,,,,,,,,,,,,5.556391438707795e-08,,,,1.9686946892867694e-06,1.9375973240383485e-06,1.8170321344991629e-06,1.8102390207313036e-06,1.931005487715463e-06
DHQTi,1.6183931317660274e-06,1.684813475528282e-06,1.6604436082060001e-06,1.5577715617032978e-06,1.4725723245758313e-06,1.326041918925707e-06,1.1274499797120059e-06,7.063514124856384e-07,7.301871540430445e-07,1.0941159573887263e-06,9.392874505490779e-07,7.803274944820209e-07,1.222076134901702e-06,9.457662621101974e-07,1.0199617502266782e-06,1.3624831320488618e-06,1.1502167324220443e-06,1.0898906800222865e-06,8.344783290215837e-07,1.660845526459121e-06,1.4541573974808552e-06,1.5612113368313097e-06,2.1096692743555307e-06,1.3470629003131725e-06,1.7157044757913128e-06,1.0293831729562273e-06,1.22346494927202e-06,1.019520578152521e-06,8.101417160187349e-07,8.762110373313187e-07
PERD,2.3112478740969957e-06,2.341138175429372e-06,2.1374345921197715e-06,2.2738129011411765e-06,2.1607671131833832e-06,2.1545293475136625e-06,2.1558206415298017e-06,9.377145387079227e-07,9.398592232240759e-07,1.2843732345606033e-06,8.33594913954789e-07,9.894463732493824e-07,1.2504361268984823e-06,1.050961462189903e-06,1.3194399641384623e-06,1.261210616080752e-06,1.2309754951448792e-06,1.1091797684989234e-06,1.0755997291804766e-06,1.2915122363005764e-06,1.335645382165307e-06,1.3062480944747879e-06,1.649977007324104e-06,1.445746647616529e-06,1.3983716718157388e-06,3.7432572828965023e-06,3.3852350276497136e-06,3.467507183282673e-06,3.086740576753867e-06,2.8726820140244448e-06
THRD,,8.001521378483269e-07,5.950416803861208e-07,4.7943755700326e-07,,,3.954745114947562e-07,5.965492694776725e-07,5.494729095775658e-07,6.090008846955708e-07,1.3742873895066934e-06,5.540161672898305e-07,5.32117181276703e-07,7.459350035030423e-07,7.602709382282801e-07,5.619251417020566e-07,4.5577142653491417e-07,6.253896067262073e-07,3.9991733235042447e-07,2.414788271282718e-07,6.109744378069562e-07,3.20289821548217e-07,3.6243679169989995e-07,4.2021766573499896e-07,3.272278193073297e-07,1.1923172646623556e-06,1.2677459871662118e-06,7.8105712522005e-07,,5.385178040268634e-07
RBFSb,2.3032055412600234e-06,2.290901714526498e-06,2.3108147927275334e-06,2.499083101483467e-06,2.6698624232096523e-06,3.027698838794748e-06,3.0830404674547245e-06,7.692506140398879e-07,1.0518923779924334e-06,1.0962790068539406e-06,1.3640922493591171e-06,9.730925808452777e-07,9.504522229098307e-07,9.593762625724869e-07,1.0528448676903883e-06,1.3600247815759014e-06,1.1655603255284595e-06,9.614047655746513e-07,1.1409026623034162e-06,1.853105164758275e-06,1.5645533867894035e-06,1.322265243264941e-06,1.4580249593317905e-06,1.2619109812360817e-06,1.7262749187907654e-06,1.6706027932808696e-06,1.959737842985444e-06,2.3658150882196797e-06,2.39409456923847e-06,2.488845926459792e-06
RBFSa,1.846631391331651e-05,1.8618877900133696e-05,1.930500230789624e-05,2.048601290854741e-05,2.0503868472789543e-05,2.0860251991584246e-05,2.0900451779015063e-05,5.65367155831368e-06,6.143800471814321e-06,7.176223981560969e-06,1.114247869592379e-05,8.067556423350643e-06,1.0355221350279223e-05,1.0383043598676949e-05,1.0903737494363378e-05,1.1487161143208418e-05,1.0702985317563434e-05,9.614428863028662e-06,1.007640532378517e-05,1.164938301818075e-05,1.1413188625763703e-05,1.3006031126113564e-05,1.1962217379656617e-05,9.613241969004249e-06,7.426377863399634e-06,2.469176088149747e-05,3.0339807264901626e-05,3.685400081338842e-05,3.4978749177930646e-05,3.3255160097260474e-05
GLDBRAN2,1.651747364518435e-07,,1.3978939552176423e-07,,,,,1.9616605722624282e-07,1.7381952429510898e-07,2.1557634038575036e-07,2.4232054136169346e-07,1.6007846795556525e-07,1.9924454277936535e-07,1.6084365902959135e-07,1.5117262364247712e-07,1.5499131497489902e-07,1.8046352736837436e-07,1.555706918441774e-07,1.432698839268395e-07,1.1865630022233928e-07,1.5231075473136573e-07,1.9647584395354195e-07,2.2109606028925854e-07,1.0754063487356298e-07,1.4543646254677903e-07,,,,,
THRS,2.2543358432005248e-05,2.246156932344695e-05,2.4436363529066155e-05,2.6525213800405027e-05,2.9288705711608994e-05,3.1297995627937586e-05,3.476406876876543e-05,7.922651008401588e-06,8.281357260633697e-06,1.0645983013181636e-05,1.2254033385790487e-05,1.0679508667092414e-05,3.952346305509527e-05,1.7567281440956555e-05,1.9731820841064907e-05,1.731018676740168e-05,2.1174444392314906e-05,1.7424927685845553e-05,1.640347575855191e-05,3.160243456464329e-05,3.0614822413271485e-05,2.588355298212206e-05,1.6389720084555814e-05,2.466083895402203e-05,1.2589009241438904e-05,1.6265934799373923e-05,2.037783172273957e-05,1.9510225296180876e-05,2.483059199916801e-05,2.7950140799452577e-05
BALAt2pp,3.5887037784090847e-06,3.7094442095207065e-06,3.386856541922513e-06,2.5427686058089105e-06,2.5171884226863922e-06,1.9303157108112488e-06,1.4829290881783022e-06,2.1774776642479365e-06,1.8429466055395135e-06,6.073387519486168e-07,8.410115502424033e-07,1.8452319431959847e-06,9.041181550769082e-07,1.07758713995019e-06,9.077183688484747e-07,8.171134443131449e-07,6.069772949985088e-07,7.859350536024024e-07,1.3711184165125318e-06,2.506409187095074e-07,5.599516876429498e-07,3.1890781092251797e-07,3.6029006127142733e-07,5.511670034572652e-07,3.8892813675141774e-07,3.032747902139699e-06,3.7229282609541695e-06,2.330843132155517e-06,1.7722479029925368e-06,
QULNS,6.283963288287847e-07,6.248932551812806e-07,8.024213051739336e-07,7.470422208193817e-07,6.594017449639501e-07,6.613677761825215e-07,7.764307095496641e-07,2.7487613176065547e-07,3.6873447311148946e-07,2.201301287335693e-07,4.835034275996231e-07,5.055208828915041e-07,4.6307901765075855e-07,3.675492555703916e-07,3.450581934566772e-07,4.491675196180872e-07,4.3358516271396056e-07,4.594881975358471e-07,5.880256954224049e-07,4.150355343846285e-07,3.7903645014024645e-07,6.518483451213642e-07,6.273948481037123e-07,4.630231223602963e-07,9.324616666385966e-07,9.496773047466822e-07,1.162528202806263e-06,1.052379121044461e-06,9.67289081181872e-07,1.0710979234270058e-06
EPMEACPR,3.432350734968668e-05,3.5840373412924004e-05,3.531697658681338e-05,3.600462171110296e-05,3.5808803166192245e-05,3.625733722546608e-05,3.8021194095873936e-05,6.450597821037438e-06,6.126478999386302e-06,5.254434223014403e-06,6.330460058200622e-06,6.422784235508054e-06,8.06303355143088e-06,7.866520834886959e-06,6.671489141225686e-06,7.723176892886773e-06,7.28252673704334e-06,4.9606884833067e-06,7.175447382897559e-06,5.8427992648926584e-06,5.62482084195799e-06,8.883723764757712e-06,6.73844942422833e-06,6.107818467033306e-06,6.768849028896958e-06,3.643106658213765e-05,3.391605458783128e-05,3.3213847901679636e-05,3.4959728459380635e-05,4.484848933093354e-05
ASNS2,1.178669970020822e-06,1.173867878385044e-06,1.4897415345888963e-06,1.6075157831553743e-06,1.899027916451836e-06,2.2011020304822e-06,2.2753442081290593e-06,4.915936754736764e-07,8.38470548718745e-07,8.267858124300133e-07,1.1708221462181643e-06,1.2138916907954633e-06,2.0723727011926697e-06,1.151421887727415e-06,1.1450580227131768e-06,1.3683601261482815e-06,1.5824676696484908e-06,1.5447090883518333e-06,1.965915713708212e-06,1.690135362537716e-06,1.6637312245949424e-06,3.128765748072879e-06,1.500822177153822e-06,2.090157467431918e-06,1.183129759812512e-06,,,,,
ASNS1,1.6009612017402329e-06,1.7277218637298078e-06,1.672481685757608e-06,1.7572258752063193e-06,1.7902046215112155e-06,1.917097884977881e-06,1.9577631062904373e-06,1.5713942000083564e-06,1.897233454880951e-06,1.5691671578332019e-06,2.1264743281629216e-06,2.0401146360115674e-06,2.625684397425093e-06,1.7406140620344817e-06,1.5209124453959496e-06,1.8858236948432884e-06,2.271557013221456e-06,2.113813439869041e-06,1.9523725101616615e-06,1.5069656733664017e-06,2.201535179045457e-06,2.044631566466844e-06,1.966198986359845e-06,2.6214007238022696e-06,3.287424658521394e-06,2.0761265255414276e-06,2.6461945690679027e-06,3.3873484408219363e-06,3.800168480462788e-06,3.728060835800996e-06
LPLIPAL1E120pp,,,,,,,,4.626468008215522e-07,3.9418445774036267e-07,3.2407034777253746e-07,3.78642254365008e-07,4.1922317835907363e-07,4.6799018730811436e-07,4.866119961502466e-07,2.4859324744510544e-07,3.7687665102260757e-07,3.7405964560671163e-07,3.907755849288562e-07,3.293205779516921e-07,5.51330664462181e-07,2.5991122397083623e-07,2.9782328983813574e-07,3.723804470445854e-07,2.5076381679100974e-07,3.4483959574251964e-07,1.032855208882022e-06,1.01861482965014e-06,9.784096600166634e-07,7.945930333945245e-07,7.467896402132946e-07
PA120abcpp,2.7946774067961086e-07,2.9335554296290393e-07,2.84607669414263e-07,3.087638300289294e-07,2.8595354510068743e-07,2.8327742275840593e-07,3.422109212519997e-07,3.361863008545872e-07,3.321319762070356e-07,1.5482880382584518e-07,1.7869936636351688e-07,3.1843769106864765e-07,2.3577639904207358e-07,1.8053556653980368e-07,1.9441216778070082e-07,3.031453426968781e-07,2.2355901061508902e-07,2.4625990426694085e-07,2.8349067644748044e-07,1.6046285196506343e-07,2.530937621249562e-07,2.6853529542428365e-07,1.4055073461296348e-07,2.9039031377018696e-07,1.1380956200688387e-07,3.46599760244537e-07,3.459959279096163e-07,3.1449600777124805e-07,3.074512971971721e-07,2.499362672959662e-07
EGMEACPR,3.432350734968668e-05,3.5840373412924004e-05,3.531697658681338e-05,3.600462171110296e-05,3.5808803166192245e-05,3.625733722546608e-05,3.8021194095873936e-05,6.450597821037438e-06,6.126478999386302e-06,5.254434223014403e-06,6.330460058200622e-06,6.422784235508054e-06,8.06303355143088e-06,7.866520834886959e-06,6.671489141225686e-06,7.723176892886773e-06,7.28252673704334e-06,4.9606884833067e-06,7.175447382897559e-06,5.8427992648926584e-06,5.62482084195799e-06,8.883723764757712e-06,6.73844942422833e-06,6.107818467033306e-06,6.768849028896958e-06,3.643106658213765e-05,3.391605458783128e-05,3.3213847901679636e-05,3.4959728459380635e-05,4.484848933093354e-05
DCYTtex,7.105386547230591e-06,7.141200775387724e-06,7.193498918117656e-06,7.635232681444583e-06,7.80871154690077e-06,7.432442073331432e-06,7.058488714784544e-06,2.0504610029198603e-06,2.2797815603337773e-06,1.132663775753014e-06,1.37376231791111e-06,2.0638905341990744e-06,1.4595030089925592e-06,1.7120865501484599e-06,2.067443120110115e-06,2.2621049641107255e-06,1.432691328492947e-06,2.0284611293963353e-06,2.1974970119213304e-06,1.979318386973799e-06,1.8833869595710593e-06,2.3545031540674834e-06,2.1681977327574093e-06,2.1344419052829506e-06,1.9710161341806426e-06,1.3968151487555318e-06,1.229000079008794e-06,1.1921663065786253e-06,1.1366137317659122e-06,8.122551291909577e-07
ASNTRS,1.156894269777103e-05,1.189297826419459e-05,1.2513315747856814e-05,1.235738513476441e-05,1.1704017620054574e-05,1.1366496396754301e-05,1.2520356453298063e-05,7.072968867995277e-06,7.367746358058224e-06,6.6464817830591884e-06,6.964899691547293e-06,7.4537860145842765e-06,7.0372029253784396e-06,7.165754391870118e-06,7.84909871971996e-06,7.687876516564111e-06,7.5677841462739166e-06,7.970300915492898e-06,8.166308559500864e-06,6.086225938262611e-06,8.75001388744009e-06,9.795230644745987e-06,7.88095653210492e-06,9.262349423252557e-06,1.2639784516357995e-05,1.1853731928107664e-05,1.449866851314448e-05,1.5093091127512763e-05,1.3937959870809278e-05,1.4982237574693552e-05
UDPGALM,2.890000011641887e-06,3.238438070697869e-06,3.318504032948638e-06,3.5200014998108297e-06,3.5252981479545414e-06,3.5942333008184057e-06,3.648321666508394e-06,7.962111981166149e-07,8.805404377582987e-07,6.773304788545946e-07,1.328890574471887e-06,1.11428032193405e-06,1.0580954004817114e-06,1.2958820381946865e-06,1.1174213812860846e-06,1.1846368400206626e-06,1.2424688947016103e-06,1.1015175021277693e-06,1.221320109881623e-06,1.1275685109591775e-06,1.332940040162974e-06,1.481745725853617e-06,1.1421121094777501e-06,1.1413995110149804e-06,6.783657780511204e-07,4.283989138818076e-06,4.680656663499795e-06,5.477765664956489e-06,4.750198020738174e-06,5.42996227177526e-06
ADNtex_reverse,7.105386547230591e-06,7.141200775387724e-06,7.193498918117656e-06,7.635232681444583e-06,7.80871154690077e-06,7.432442073331432e-06,7.058488714784544e-06,2.0504610029198603e-06,2.2797815603337773e-06,1.132663775753014e-06,1.37376231791111e-06,2.0638905341990744e-06,1.4595030089925592e-06,1.7120865501484599e-06,2.067443120110115e-06,2.2621049641107255e-06,1.432691328492947e-06,2.0284611293963353e-06,2.1974970119213304e-06,1.979318386973799e-06,1.8833869595710593e-06,2.3545031540674834e-06,2.1681977327574093e-06,2.1344419052829506e-06,1.9710161341806426e-06,1.3968151487555318e-06,1.229000079008794e-06,1.1921663065786253e-06,1.1366137317659122e-06,8.122551291909577e-07
PA160abcpp,2.7946774067961086e-07,2.9335554296290393e-07,2.84607669414263e-07,3.087638300289294e-07,2.8595354510068743e-07,2.8327742275840593e-07,3.422109212519997e-07,3.361863008545872e-07,3.321319762070356e-07,1.5482880382584518e-07,1.7869936636351688e-07,3.1843769106864765e-07,2.3577639904207358e-07,1.8053556653980368e-07,1.9441216778070082e-07,3.031453426968781e-07,2.2355901061508902e-07,2.4625990426694085e-07,2.8349067644748044e-07,1.6046285196506343e-07,2.530937621249562e-07,2.6853529542428365e-07,1.4055073461296348e-07,2.9039031377018696e-07,1.1380956200688387e-07,3.46599760244537e-07,3.459959279096163e-07,3.1449600777124805e-07,3.074512971971721e-07,2.499362672959662e-07
ADK1,2.209909631315632e-05,2.0894263378296244e-05,2.2558462148962077e-05,2.312613626185627e-05,2.235519188183975e-05,2.12536826419599e-05,2.0820168349126235e-05,5.99753818272647e-06,6.193539225043371e-06,6.450031353734276e-06,8.822209193024327e-06,6.516650810627513e-06,1.0361541462051392e-05,9.26438872807417e-06,1.146397921983495e-05,7.265712440422447e-06,7.003940455250338e-06,7.649038478463543e-06,5.9048928645428435e-06,1.231340019484679e-05,8.37438616822278e-06,9.36044655828409e-06,8.988137044050562e-06,7.57710981577217e-06,7.965504227755096e-06,1.6882850168218003e-05,2.2077368148735393e-05,1.8256417772079087e-05,1.7173243201953662e-05,1.9995656174095952e-05
LSERDHr,9.478797665642984e-06,1.0049540661726682e-05,9.631301788054517e-06,8.826147248683224e-06,8.632800170539379e-06,7.844952953839488e-06,7.627993344672417e-06,3.2970569680392404e-06,4.0574339562598615e-06,4.009269106128522e-06,4.214771575730308e-06,3.4912411486691432e-06,4.091809434357283e-06,4.136528845017458e-06,4.933852377172116e-06,4.73610821547276e-06,4.499904181011553e-06,3.846324295770578e-06,3.644693064930853e-06,3.428642240077152e-06,3.7003307195648123e-06,3.35061388966746e-06,4.539991379351169e-06,3.7368925636905813e-06,4.060688023883893e-06,1.5978259011145406e-05,1.7089511784844645e-05,1.433050120786904e-05,1.4640971666740817e-05,1.2166064203345446e-05
GLNTRS,4.726291457379705e-06,4.677221815866459e-06,4.836609886146971e-06,5.080068673731186e-06,5.344279184056463e-06,5.643126887341208e-06,5.715224207094535e-06,1.2237138976908034e-06,1.2573066550682538e-06,1.2403836391206716e-06,1.2982176420965628e-06,1.2930817855522634e-06,1.5551500508440133e-06,1.4695036452565585e-06,1.2604414882619955e-06,1.2308461465670822e-06,1.6098955335989652e-06,1.338094741428177e-06,1.5217397907622916e-06,1.1942101022833215e-06,1.5335862386693613e-06,1.770178430670977e-06,1.3740276911265114e-06,1.657665957501739e-06,1.866291074304279e-06,6.048185944011669e-06,6.507501073441421e-06,7.120038657857326e-06,7.1719179192992705e-06,7.222589516071373e-06
G1PPpp,9.789501872103075e-06,8.917287820508271e-06,7.683834529963545e-06,8.642615881399361e-06,5.2071484480594415e-06,4.485164531821749e-06,1.0351463390785995e-06,5.643078008578228e-06,4.5273635678718965e-06,3.6256579757082512e-06,3.0201243058625507e-06,3.329212805465396e-06,1.8291289089420762e-06,2.4667779149387395e-06,1.858403231037729e-06,1.828282929085569e-06,1.6173100152367234e-06,2.362455889649401e-06,2.3040468563980606e-06,9.533084147822142e-07,1.166886148059755e-06,8.882253163707287e-07,1.1887390943841772e-06,1.545263384345874e-06,1.5202019373765206e-06,1.6609062523692664e-05,1.2768688873596401e-05,7.146758238677571e-06,3.824321773859619e-06,2.0797495195509525e-06
ICHORSi,,,,,,,,5.294126480292419e-08,7.729344190993367e-08,,1.5920608337748676e-07,1.3447849292298566e-07,1.6865037114337842e-07,1.5472213043738248e-07,1.0929833349147745e-07,1.136987093743993e-07,1.1567734976749722e-07,1.0862501504777833e-07,1.766415346548042e-07,1.9202697888695375e-06,7.26979502867009e-07,3.416755500766618e-07,2.959911914778135e-07,1.2411542447231799e-07,2.1709933808939253e-07,,,,,
DMPPS,7.74951047969527e-07,,,,,7.289437487467437e-07,6.614255306822629e-07,1.6314066592596953e-07,2.048578610620714e-07,2.099068738927157e-07,2.6021673157782426e-07,2.583270207833031e-07,3.619572292960226e-07,3.096819901404818e-07,2.62440823601235e-07,2.583572700176384e-07,3.943589333810377e-07,2.7399273404313277e-07,2.6826392549873416e-07,1.8775073496193216e-07,2.767384512253495e-07,3.976115442475818e-07,2.4057119873636274e-07,3.224859063470581e-07,2.5272814756039024e-07,8.69971436537137e-07,9.687986620191742e-07,9.701572847727461e-07,9.500295402753861e-07,9.342292608449585e-07
ACOAD3f,1.6775938906517176e-06,1.2812911425931043e-06,6.97507135919574e-07,1.4683692930707864e-06,9.973333055068272e-07,1.0221821339459745e-06,6.215349452553279e-07,9.187785685558012e-07,1.0730845705160962e-06,2.5371431779873423e-07,6.803396419939131e-07,1.1085355281920952e-06,8.115909136225447e-07,3.700256020882754e-07,2.7521570019597406e-07,4.1876463837827746e-07,2.2531256411296503e-07,5.506348586971869e-07,7.781356092947734e-07,2.5679106286147846e-07,2.1566986442601197e-07,1.5315512626336158e-07,8.81018167845189e-08,3.349127486000734e-07,2.4759489728589584e-07,1.4037089012458776e-06,1.4891511766371704e-06,1.079098701864706e-06,6.477611372862841e-07,2.8415343294147804e-07
LACZpp,9.015806396810523e-07,6.44874889441174e-07,7.845360864692053e-07,8.478269932318678e-07,8.444051628851771e-07,9.507653551763628e-07,8.635944501893279e-07,1.4785947043257918e-07,1.9193933274285247e-07,1.6878616511191034e-07,2.54944137638842e-07,2.0981076998445862e-07,3.1650878222098406e-07,2.745574911308174e-07,2.2612506754107596e-07,2.395931417982485e-07,2.854670732357565e-07,2.2679927251333825e-07,2.1130390505778543e-07,1.711038638409078e-07,2.47610935666894e-07,2.785282953331842e-07,1.493265686045598e-07,2.1528526715757216e-07,2.0477278315392887e-07,7.001435923406631e-07,9.134473646514345e-07,8.756072049963979e-07,7.703894206364492e-07,9.119377838141324e-07
UAGCVT,1.559990789352904e-06,1.6835403436007373e-06,1.8711456977632718e-06,1.7598256301828218e-06,1.8010057511443638e-06,1.8793963199400205e-06,2.0693111511584084e-06,8.240457500465165e-07,8.477844689488937e-07,8.046088631761351e-07,7.7382426399089e-07,9.109272033091608e-07,1.0756266659389116e-06,8.090323127787229e-07,8.008579889056115e-07,1.1482993470922228e-06,1.2245521524407032e-06,7.07291991295483e-07,9.79506584679605e-07,9.885860744926405e-07,9.932392627366542e-07,1.1521361916244044e-06,7.26900096924278e-07,9.158293744140782e-07,8.072373770476396e-07,1.8508467452547273e-06,2.084278262062858e-06,2.1746518348560044e-06,2.0642008369267423e-06,2.2671891401826166e-06
ALLPI,,,,,,,,7.330736416933178e-08,8.230118603367582e-08,6.976403748858673e-08,,7.858206914177584e-08,6.44087823915516e-08,7.787614529441108e-08,5.519526834062834e-08,1.2253340638659917e-07,7.616521497296406e-08,1.357479131725351e-07,9.08741475540653e-08,,,6.116282922965341e-08,,,,,,,,
CTPS2,3.407112519457344e-06,3.4456092511351e-06,4.1398704364340805e-06,4.3959632380175986e-06,4.889406527782502e-06,5.312366533428803e-06,5.838277504445095e-06,7.018226699737324e-07,8.47857044950687e-07,1.0834373237130906e-06,8.527162712272809e-07,9.447040745437929e-07,1.261446003138538e-06,1.3210615295885293e-06,1.4558678447189198e-06,1.2166146020322124e-06,1.43993426685374e-06,1.1091797684989234e-06,1.3230811973032193e-06,1.1218331859142308e-06,1.3979043194456713e-06,1.7012373621505312e-06,1.2324636997513089e-06,1.557350230914812e-06,1.3276881663912852e-06,2.141994569409038e-06,2.610216225778872e-06,3.3503637103080384e-06,3.7655990792885724e-06,4.190747362434056e-06
CYTK2_reverse,1.0210096175688505e-06,1.0868629501802198e-06,9.950257202984374e-07,1.0316783380701633e-06,8.964869692357913e-07,9.98230006879909e-07,9.681573230413248e-07,1.2619036444871098e-06,1.0887851789040608e-06,1.4963520821515768e-06,1.169859514959595e-06,9.72149092821964e-07,1.330182250597022e-06,1.21390506306666e-06,1.2750497059252923e-06,1.2466333660106222e-06,1.3756436587196534e-06,1.2429454038042943e-06,1.0507580519569693e-06,2.099760212917678e-06,1.4102226433629622e-06,1.6836255857153412e-06,1.5433961350112922e-06,1.2290163988016299e-06,1.71030105444974e-06,2.0414564856447253e-06,1.8656406374602867e-06,1.5518491007464464e-06,1.4958939710437857e-06,1.7033606974503226e-06
CS,0.00013329653640713313,0.0001417037759771401,0.00013600191078006778,0.00011779523264584713,0.00010405119430654802,9.896077677404836e-05,9.572805159175641e-05,6.639562912831007e-05,6.417973252989175e-05,4.1279658763085974e-05,7.441583751799278e-05,5.5928691071607156e-05,7.478640592145637e-05,3.603424928801852e-05,3.784357279000462e-05,4.264750241663595e-05,3.354879491772351e-05,5.380921860963464e-05,5.923146259599091e-05,2.0437109373133367e-05,3.0055375722802303e-05,1.7135868673570976e-05,1.75221461463403e-05,3.411336496316308e-05,2.6024244922043235e-05,4.19246828458858e-05,5.368215383593485e-05,4.424948765469211e-05,3.6654283268613364e-05,2.3369669984188387e-05
