,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.22_P,GLC_CHEM_mu=0.26_P,GLC_CHEM_mu=0.31_P,GLC_CHEM_mu=0.36_P,GLC_CHEM_mu=0.41_P,GLC_CHEM_mu=0.46_P,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.35_S,PYR_BATCH_mu=0.40_S,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.50_S,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,GLC_BATCH_mu=0.58_S,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.40_V,GLC_CHEM_mu=0.49_V
DALAt2pp,3.5887037784090847e-06,3.7094442095207065e-06,3.386856541922513e-06,2.5427686058089105e-06,2.5171884226863922e-06,1.9303157108112488e-06,1.4829290881783022e-06,2.1774776642479365e-06,1.8429466055395135e-06,6.073387519486168e-07,8.410115502424033e-07,1.8452319431959847e-06,9.041181550769082e-07,1.07758713995019e-06,9.077183688484747e-07,8.171134443131449e-07,6.069772949985088e-07,7.859350536024024e-07,1.3711184165125318e-06,2.506409187095074e-07,5.599516876429498e-07,3.1890781092251797e-07,3.6029006127142733e-07,5.511670034572652e-07,3.8892813675141774e-07,3.032747902139699e-06,3.7229282609541695e-06,2.330843132155517e-06,1.7722479029925368e-06,
APCS,1.3607657890193285e-06,1.2575149885120214e-06,1.3550222687505426e-06,1.5159979265855872e-06,1.7915891241045343e-06,1.9050211725236336e-06,1.924433271057956e-06,6.967377661007152e-07,7.418960823323742e-07,1.0394704972148982e-06,6.880406920624683e-07,7.816483777146599e-07,8.477202149953061e-07,1.3098684433276945e-06,9.557363019419825e-07,1.137966592760563e-06,1.029926774540569e-06,9.268864461762439e-07,1.0389171018948605e-06,1.4360316060652222e-06,8.450586634621836e-07,1.8421847278868849e-06,8.806231694463501e-07,9.730336482600375e-07,9.272946449807175e-07,1.6013130328487082e-06,2.0261593998267317e-06,2.063647323953065e-06,3.078135965981246e-06,2.1452150085286155e-06
DAPDC,,,,7.484797790597936e-07,,,,5.125159362011951e-07,7.875221954598028e-07,8.592543233499625e-07,8.07997673670103e-07,1.0825791243507082e-06,1.0973646299960605e-06,1.2317347579954236e-06,1.4114385792489722e-06,9.853568048063435e-07,1.357993761556249e-06,9.37026559881353e-07,1.3761129404723784e-06,1.2490022956372455e-06,1.3882913375307135e-06,1.285500217004358e-06,1.4613051634264968e-06,1.6318432852960892e-06,1.1498649471784525e-06,5.892397201602102e-07,7.63948542397294e-07,8.961878237449484e-07,9.603953286915265e-07,1.1573956279594362e-06
HISt2rpp_reverse,8.0507595367295e-07,8.161829220182223e-07,8.776386371301171e-07,8.187683439478606e-07,9.129024396957204e-07,8.401752354697038e-07,8.726830936243277e-07,3.4076801111517037e-07,3.540741207492297e-07,9.843013513810716e-08,1.902728194494987e-07,3.390057299768873e-07,2.239815407666207e-07,3.286805206256867e-07,2.2072256247734664e-07,2.9617361440246815e-07,2.6472939708696143e-07,1.8174057176356668e-07,4.316802600051801e-07,1.0384906166290157e-07,1.2550983329491704e-07,3.5406049145311833e-07,1.5286438035068285e-07,2.3221705222460802e-07,1.5830335961640003e-07,1.9444407571674507e-06,2.369387762867961e-06,2.67205872074701e-06,2.2800708966609265e-06,2.0440227730681385e-06
SERASr,,,,,,,,,7.347110581548308e-08,5.878940757034298e-08,7.239424624104764e-08,5.757373582265648e-08,6.432827141356216e-08,5.051746896483039e-08,,8.404485679431947e-08,6.055477676904576e-08,,6.633176764650382e-08,4.77078044304806e-07,3.006717101393249e-07,7.569165888443782e-08,1.3557032001890682e-07,5.477330470480871e-08,8.010572138882151e-08,,,,,
3OAS141,6.40730236243347e-05,6.35840851033937e-05,6.615593196568287e-05,6.265542884424449e-05,5.447075679979201e-05,5.1294534202715104e-05,4.826872065974916e-05,2.5156025847041115e-05,2.4254803031340167e-05,2.7297502099466943e-05,2.3917404982516057e-05,2.3820346956604688e-05,2.8414960867002354e-05,2.5712955866111524e-05,2.7610057981597915e-05,2.604820146490725e-05,2.660870668223279e-05,2.3979615359085687e-05,2.382028772067757e-05,2.362870954696607e-05,2.2245792822213328e-05,2.3861795463319025e-05,2.663067183281961e-05,2.1092805246828307e-05,2.580484912988367e-05,2.693424321530958e-05,2.202755198110443e-05,1.4867006237446168e-05,1.3086355001125982e-05,1.1318132647032919e-05
SPMS,1.3607657890193285e-06,1.2575149885120214e-06,1.3550222687505426e-06,1.5159979265855872e-06,1.7915891241045343e-06,1.9050211725236336e-06,1.924433271057956e-06,6.967377661007152e-07,7.418960823323742e-07,1.0394704972148982e-06,6.880406920624683e-07,7.816483777146599e-07,8.477202149953061e-07,1.3098684433276945e-06,9.557363019419825e-07,1.137966592760563e-06,1.029926774540569e-06,9.268864461762439e-07,1.0389171018948605e-06,1.4360316060652222e-06,8.450586634621836e-07,1.8421847278868849e-06,8.806231694463501e-07,9.730336482600375e-07,9.272946449807175e-07,1.6013130328487082e-06,2.0261593998267317e-06,2.063647323953065e-06,3.078135965981246e-06,2.1452150085286155e-06
NTP3,1.026979693856812e-06,1.0018616959975648e-06,9.89683232349825e-07,1.1323933895436615e-06,9.260909734504287e-07,9.417746782773179e-07,9.22355528764642e-07,4.964402244776459e-07,4.0998183413071847e-07,4.91922986273145e-07,4.296179551028868e-07,4.2532440090983586e-07,6.24402889797098e-07,5.719964240868816e-07,4.7331405374217957e-07,5.767328621290264e-07,6.237122946847606e-07,4.992481170637757e-07,4.6391083971610124e-07,5.302289968439812e-07,5.755705288030875e-07,6.634182545903573e-07,4.917558327110944e-07,4.790199192961204e-07,7.297995949462195e-07,1.3829270050523534e-06,1.2705135520345987e-06,1.0749725142427475e-06,8.722861271543335e-07,9.134473646514345e-07
OCTNLL,2.7871006402089705e-07,1.7439584506287395e-07,2.630915741866637e-07,2.800973286172846e-07,2.9729689852762e-07,2.5218958422204583e-07,,8.307991380028675e-08,9.567936236425278e-08,1.4756551141107394e-07,1.0227957122299722e-07,1.1653125407950644e-07,1.5121974440866475e-07,1.3029544838497624e-07,1.583889661463755e-07,1.7655949920250892e-07,1.4135166022009547e-07,1.2635115366761233e-07,1.2259966304432774e-07,1.8057256084907443e-07,1.661981770100101e-07,1.1038366920647185e-07,8.471856962924592e-08,1.3018434743309285e-07,1.094023964751633e-07,,,,,
IDOND_reverse,,,,,,,,3.7752762869719085e-07,3.335351122417074e-07,2.322204367970286e-07,2.8124147338430567e-07,3.1546046219507987e-07,3.4432532511633537e-07,2.8436382334163744e-07,1.9868346239787312e-07,1.5375272886551474e-05,3.53341029822024e-07,,2.8607211579751356e-07,4.3442381873468385e-07,,4.848022402612332e-07,3.491270630433693e-07,,3.865979112978644e-07,,,,,
