,STARVED@8H_mu=-0.005_H,PERSIST@8H_mu=0.02_H,FUM_BATCH_mu=0.55_H,GLC_BATCH_mu=0.6_H,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.22_P,GLC+AA_CHEM_mu=0.22_replicate1_P,GLC+AA_CHEM_mu=0.22_replicate2_P,GLC+AA_CHEM_mu=0.25_P,GLC_CHEM_mu=0.26_P,GLC_CHEM_mu=0.31_P,GLC+AA_CHEM_mu=0.35_P,GLC_CHEM_mu=0.36_P,GLC_CHEM_mu=0.41_P,GLC+AA_CHEM_mu=0.42_P,GLC+AA_CHEM_mu=0.45_P,GLC_CHEM_mu=0.46_P,GLC_CHEM_mu=0.51_replicate1_P,GLC_CHEM_mu=0.51_replicate2_P,GLC+AA_CHEM_mu=0.53_P,GLC+AA_CHEM_mu=0.55_P,GLC+AA_CHEM_mu=0.63_P,GLC+AA_CHEM_mu=0.65_P,GLC+AA_CHEM_mu=0.73_P,GLC+AA_CHEM_mu=0.74_P,GLC+AA_CHEM_mu=0.78_P,GLC+AA_CHEM_mu=0.82_P,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.35_S,PYR_BATCH_mu=0.40_S,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.50_S,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,GLC_BATCH_mu=0.58_S,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S,GLC_BATCH_mu=0.67_S,GLC_BATCH_mu=1.03_S,GLYC+AA_BATCH_mu=1.27_S,LB_BATCH_mu=1.78_S,LB_BATCH_mu=1.9_S,LB_BATCH_mu=2.3_S,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.40_V,GLC_CHEM_mu=0.49_V
b2533,6.086069502264898e-06,9.542699838051586e-06,4.403394249802505e-06,2.9464515233618835e-06,2.8443594608461327e-06,2.6051304469477163e-06,2.4527047153758197e-06,2.7865738720905222e-06,3.1108162570727745e-06,3.1637552703390044e-06,3.855257614422897e-06,4.210797356140471e-06,3.806122587380653e-06,4.174731014193488e-06,4.10514624575128e-06,4.454637331005604e-06,4.292169112879337e-06,4.898954207894682e-06,4.361295652564481e-06,4.669433198741737e-06,4.858096631727542e-06,5.21551213667752e-06,5.6719106412210856e-06,5.959129336533365e-06,6.1222035798992305e-06,5.916269711864725e-06,5.956687845315424e-06,1.3551003982847533e-06,1.4341332450376684e-06,1.309601102170985e-06,1.3204477766284817e-06,1.3519059157587578e-06,1.5960207487248916e-06,1.35524716308838e-06,1.5075680628522546e-06,1.8590824794500443e-06,1.6132426221890714e-06,1.807751861463739e-06,1.8707366164080274e-06,1.6597765064678954e-06,1.7862250876472092e-06,1.8138416344977442e-06,1.8941361851269966e-06,2.5490300086770915e-06,1.8169239392855679e-06,1.8964279266448295e-06,2.0439960936752648e-06,2.0264277697533634e-06,1.9057960563128727e-06,2.3808415268205414e-06,2.453015329380369e-06,4.067681101240341e-06,3.8418947720714655e-06,2.103852493586541e-06,2.6351243095943545e-06,3.1982482812692407e-06,4.320068120829593e-06,3.951227202915474e-06
b2535,4.818548317787985e-07,9.97365250023558e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9184918570904598e-07,,,,2.609268544475455e-07,,,,,,,,,,,,,5.361207112342081e-08,,,,,,,,,,,
b2551,3.4179517882385155e-05,5.0143465387520775e-05,3.6276437932605716e-05,2.2950564118640983e-05,4.290106988212713e-05,4.304270302357448e-05,3.8505756679386065e-05,4.314948414407583e-05,4.112587799160377e-05,4.494344412793097e-05,4.6024213031327284e-05,4.292966472575073e-05,4.5607954227627774e-05,4.649304101323009e-05,4.465005979891802e-05,4.613479069763662e-05,4.929220075547347e-05,5.163191625173275e-05,5.387471940345627e-05,4.671944937154898e-05,4.672766333670056e-05,4.629219794918887e-05,4.8148257040681485e-05,4.8788843293393545e-05,4.883248989302908e-05,5.231019342361417e-05,5.6813147417613916e-05,2.8854191023391802e-05,2.6884376728317364e-05,1.3573118017920291e-05,1.662186396272899e-05,2.852791294210588e-05,1.9890171478341578e-05,1.9329574596036964e-05,3.075243609096974e-05,2.763733465054513e-05,3.2352423735247666e-05,3.2108861232865614e-05,2.6799824953137166e-05,3.060433081005623e-05,2.4797755342392298e-05,4.5033862430987696e-05,3.931215427411947e-05,4.3426352912621605e-05,4.158625577425168e-05,3.5746415233137635e-05,3.329900615973666e-05,3.665651409362848e-05,2.551748823786336e-05,1.9331818329347765e-05,1.107005724443655e-05,1.2167784562486139e-05,7.650943465679923e-06,3.0136818961645746e-05,3.735664091284873e-05,3.59865956642747e-05,4.56969240808585e-05,4.681663050724663e-05
b2552,3.9574273729276434e-07,5.386167551798583e-07,1.0350664901591552e-06,4.20896407025391e-07,,,,,1.414858519655767e-07,,,,,,1.6252927860552441e-07,,,,,1.4264708913409222e-07,,,,,,,,2.1530396692019644e-07,2.6996337307083935e-07,1.0739211044315035e-07,1.7239219625983955e-07,1.224513686728523e-07,9.663505157047672e-08,2.084269875502651e-07,1.705222513816329e-07,2.0272363134004293e-07,2.0722605163221767e-07,2.0751935047134868e-07,1.5949712685029113e-07,2.682365040827135e-07,2.6992876681868313e-07,1.830452434392071e-06,3.0227687972737587e-07,2.637514124891718e-07,2.40399460302085e-07,2.2035120285031986e-07,3.8826959477541343e-07,1.5481590142552636e-07,2.3554862575264873e-07,3.6352125489389707e-07,2.912931911979026e-07,4.0953391557419575e-07,2.253868820464111e-07,,,,,
b2553,5.2125553056460285e-06,5.9039232761091e-06,3.9973202202537955e-06,1.8075988487559866e-06,9.451457530314921e-06,9.431967107291568e-06,8.536883080633911e-06,8.680831464793924e-06,9.124411722986587e-06,9.581518304939448e-06,9.729003195087066e-06,9.630347969188576e-06,9.281480105615289e-06,9.422031058534099e-06,9.648083582082529e-06,8.156161416729382e-06,9.095460588242227e-06,9.2146550803909e-06,9.850698864013754e-06,9.038518918848286e-06,9.364151657687495e-06,9.498373899706663e-06,9.84680583022624e-06,9.03003388690609e-06,9.37877937936017e-06,8.698394164585508e-06,8.444457250444118e-06,2.50420591147934e-06,2.1691733144006295e-06,1.8901011437994466e-06,2.189351862099244e-06,2.0269822693811824e-06,1.874089914552548e-06,2.324020665426933e-06,2.663625195802615e-06,2.568823202247697e-06,2.3518450292772676e-06,1.966699584231058e-06,2.888979387750792e-06,1.5506749823174336e-06,2.5964790401594237e-06,3.3810101852227365e-06,2.4757486444019617e-06,2.2603846868403928e-06,2.3767053658141045e-06,2.2346726329488575e-06,1.8637075634753389e-06,2.008899858920246e-06,1.5027578730655976e-06,3.226600942142373e-06,1.6381866563096485e-06,2.4904682273580613e-06,1.5207526587890573e-06,5.982317900144058e-06,6.5434794167304516e-06,6.7952775003924245e-06,6.327257121467564e-06,6.005666083760996e-06
b2554,1.2717062513161943e-07,3.2318046918418093e-07,7.375999985497526e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,9.618943159790928e-08,5.140800127030015e-08,,,5.698667660815014e-08,,,,,,,7.323431199550551e-08,,,,,,,,,,,,,,,,,
b2555,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.072917910062799e-08,,,,,,,,,,,,,,1.9404516402069437e-07,,,,,6.166654606070324e-08,,,,,,,,,,,
b2557,8.54040465685833e-06,1.187708557144294e-05,7.497722328393721e-06,4.321541854315905e-06,3.523676046723503e-06,3.4174391354619433e-06,3.6133275907554883e-06,3.9048833071904945e-06,3.990608534409014e-06,3.7496412798207474e-06,3.6915380911936135e-06,4.135615735868171e-06,3.7378491548784047e-06,3.929187980823828e-06,4.325769282965561e-06,4.4816555534055245e-06,4.421027186790705e-06,4.556007382691533e-06,4.604323360662058e-06,4.712403714236758e-06,4.966124846734062e-06,4.741407120839248e-06,4.5321238114775126e-06,5.055997510188344e-06,5.19273303002504e-06,5.58808159960285e-06,5.878317246211654e-06,1.942516041599891e-06,2.311168261909348e-06,3.2278810882667354e-06,3.5512405357517373e-06,3.5758623001248505e-06,3.14531012544287e-06,3.627900147246009e-06,5.450794487330027e-06,4.103801449437104e-06,3.7319607813336433e-06,3.7623133402345566e-06,3.941168667568743e-06,3.362781918731257e-06,4.274807445408147e-06,2.3773283023570765e-06,3.103478167010036e-06,4.352040050750893e-06,2.9336702820204846e-06,4.089672085488902e-06,3.183780282913345e-06,4.063221327922866e-06,5.008155251074373e-06,3.0730546301706723e-06,4.929156152438556e-07,9.62624628877522e-07,3.9080601156513776e-07,5.198996403668056e-06,6.208553748294383e-06,7.023425484269999e-06,7.686684984819248e-06,9.665342907632212e-06
b2559,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3683721298127004e-07,1.1331291159998067e-07,,,,,,,6.240393225067284e-08,1.1206784872270332e-07,8.617670759508946e-08,,,6.577058517910529e-08,8.19718626706995e-08,,,6.055497192635744e-08,,8.010572138882151e-08,,,,,,,,,,,
b2561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.467200209225907e-08,,6.421188054320786e-08,6.13057551148753e-08,,9.182292888313293e-08,7.087618556531567e-08,9.276431862809939e-08,,,,,,7.811903652188352e-08,5.590086035742865e-08,,1.506879126631204e-07,,,,,7.77076382838049e-08,,,,,,
b2563,4.554387850367784e-07,5.253507776848932e-07,3.30905559224558e-07,1.661564668027464e-07,,,,,,,,,,,,,,,,,,,,,,,,,7.129624496174192e-08,5.63047168439304e-08,5.111769726312669e-08,1.1179550393895586e-07,8.845268587263694e-08,5.881075345322339e-08,7.751194405933288e-08,7.595450039653325e-08,9.53337355650146e-08,9.810354856155938e-08,7.080925265879917e-08,7.63367582499302e-08,5.5070706134040426e-08,7.297209160960399e-08,9.468697008166605e-08,8.215875988931139e-08,8.099184560541736e-08,1.1151858437726418e-07,8.13383768823679e-08,8.421783760103662e-08,9.518035109768479e-08,9.123176095931263e-08,5.833715071811631e-08,9.710815658137672e-08,5.6228423848129185e-08,,,,,
b2564,5.9492122507931006e-06,8.460159949369573e-06,4.0510265827099465e-06,2.098763460078317e-06,3.4811832023355594e-06,3.5060934898351336e-06,3.470230370706804e-06,3.2911139875253114e-06,3.279090206563185e-06,3.4677068089392613e-06,3.654806669697805e-06,3.10733909881162e-06,3.4069662026463193e-06,3.0336828927566334e-06,3.027481921698803e-06,2.988915973659957e-06,3.3084901608195747e-06,3.040144366701288e-06,3.0481972110268887e-06,3.0223466025220735e-06,2.6663039930728285e-06,2.6877494788986446e-06,2.8551487762661664e-06,2.58661801901172e-06,2.749050931078471e-06,2.4494343359884865e-06,2.737949997510542e-06,7.146827427799277e-06,7.179597911809045e-06,2.740127574572161e-06,2.507379901957769e-06,3.1248778710985987e-06,1.3960341047571019e-06,1.5576358272894373e-06,1.5751167733853944e-06,1.2528530410999369e-06,3.1496994594109867e-06,1.6871774531102796e-06,1.436560582406739e-06,2.8041607674730915e-06,1.2893167188480756e-06,3.700745538671837e-06,3.2317113779206354e-06,1.1425861438391254e-06,4.7155595807133785e-06,2.681613959452311e-06,5.1062331677866e-06,1.0079303519461246e-06,9.562810812569817e-07,1.1690777340787034e-06,1.0918825556614485e-06,1.1664708244600497e-06,8.81373619136685e-07,4.446872911162961e-06,,7.161149575993183e-06,6.429153827985449e-06,9.009279075740767e-06
b2566,9.696492807655675e-07,1.2004089107396845e-06,1.1118935243054904e-06,7.460647485761116e-07,,,,,,,,,,,,,,,,,,,,,,,,5.739552141825277e-08,5.327562371644942e-08,5.0557716112447367e-08,,1.0141286650592862e-07,,6.149445271953803e-08,7.467393208520514e-08,7.722238981368976e-08,1.3529667013390065e-07,7.367369073651954e-08,6.793113767858958e-08,1.1420970173123138e-07,6.479786890228123e-08,6.934693332647735e-08,1.5047112216977906e-07,8.05641322442741e-08,1.261934015073382e-07,1.284673692285039e-07,1.4822260167602766e-07,1.6425916821887105e-07,1.7967139155835365e-07,7.031572359652092e-08,2.043227774743813e-07,1.2215054265472362e-07,2.82561679202329e-07,3.2928989997680756e-07,3.681364468567121e-07,4.0079371230367857e-07,3.696460276940141e-07,3.510781833951996e-07
b2567,2.3526673724346594e-06,4.32954299679576e-06,2.2088300774052876e-06,1.3469829581730687e-06,1.9962386496168568e-06,1.6937985291647384e-06,1.4821717548058189e-06,1.6263621017866559e-06,,1.9288792262310224e-06,1.888331401689041e-06,1.8027777321675542e-06,2.0114186920953915e-06,2.070821887167223e-06,2.1781693457652924e-06,1.9139038777869855e-06,2.1328891421976604e-06,2.0499910108848984e-06,2.3037995945655036e-06,1.8965986849726222e-06,1.931797039324891e-06,2.098665754262221e-06,1.8784518672361808e-06,1.985454445092076e-06,,2.0831101733874722e-06,,1.0799478410856886e-06,8.434468432417098e-07,8.488876241761526e-07,9.918962165099183e-07,1.035690852886209e-06,1.0197984285385175e-06,9.71981361617819e-07,9.940086620021174e-07,1.1899736503178302e-06,1.1318540662938814e-06,9.956703532749337e-07,1.127706442411266e-06,8.301932190596653e-07,1.1268169823717142e-06,1.2580561735383875e-06,1.3023336043099096e-06,1.1581603405056563e-06,1.005511358853177e-06,1.1922628653529032e-06,1.2654812781964253e-06,1.0690516027364406e-06,9.779297781987038e-07,1.1957877240024193e-06,8.483630180695723e-07,1.4359198609363614e-06,1.3754728149055905e-06,8.387734325662293e-07,9.411230133353043e-07,9.537028536461544e-07,8.792301990059226e-07,1.020526965377389e-06
b2568,2.1109955304497473e-06,3.266004523693185e-06,1.638712574933314e-06,8.325955537469968e-07,9.05015236034595e-07,8.937453200018281e-07,9.944709604109883e-07,1.1723856236615372e-06,1.0985036846153758e-06,8.897944930129457e-07,9.340787321001079e-07,8.599088554092973e-07,9.339132066221843e-07,9.045105234225456e-07,9.122313257695891e-07,1.1005403711038408e-06,9.270124264840567e-07,8.730122732554628e-07,8.721292798274194e-07,8.800084828696197e-07,8.362052874853451e-07,8.579851023645685e-07,7.867888016456685e-07,7.605708890285615e-07,8.265548561085339e-07,8.919822128815235e-07,7.075579721542514e-07,2.462818236856644e-07,1.9237720795367242e-07,2.703738731230881e-07,2.384847418929972e-07,2.2775772421616606e-07,1.7887439022871126e-07,2.3809444428335286e-07,2.6443830720631404e-07,2.387792366404316e-07,2.1225798775655763e-07,2.682482894986883e-07,2.600405475165538e-07,2.4549748970264694e-07,2.5318682320796085e-07,1.842878971989455e-07,2.6533994358885166e-07,2.6017235933031025e-07,2.1170196793426203e-07,2.51987801253687e-07,2.8518244699321384e-07,1.2870015294020194e-07,2.3705536368818552e-07,2.60832970956975e-07,1.5309933314481177e-07,3.0150563654116295e-07,2.3930549435364505e-07,2.8420375230272144e-07,3.044824548838115e-07,3.0010467045563574e-07,2.245753092292928e-07,1.7556425137822153e-07
b2569,3.587817480729754e-06,5.88342842916259e-06,3.2117672002415364e-06,1.8335888227991125e-06,2.3347891057141964e-06,2.1895367917813507e-06,2.506411443725002e-06,2.5305618695361647e-06,2.5116826032524405e-06,2.640214277698012e-06,2.373830634536992e-06,2.4932606413757194e-06,2.35719267498792e-06,2.4214549188175636e-06,2.6044209438263732e-06,2.443329011234323e-06,2.3838712751099943e-06,2.418653300526758e-06,2.52593073450296e-06,2.678795746483179e-06,2.6671773840299936e-06,2.63699803960252e-06,2.55811902047995e-06,2.4879361139519396e-06,2.534216753452451e-06,2.7787278742513573e-06,2.589758384594108e-06,9.170389090601822e-07,8.769406680693478e-07,1.62086607727292e-06,1.4984283250264101e-06,1.119708247903469e-06,7.64176073422047e-07,1.596046273038566e-06,1.9452056114583504e-06,1.123508509777828e-06,1.1034762869880106e-06,1.4177768118273912e-06,1.25009304034455e-06,1.32017799916727e-06,1.6796191249237393e-06,7.49019022379351e-07,1.2183417529441346e-06,1.3251710091958976e-06,1.0521898652898867e-06,1.5895138226284997e-06,1.4460399794634292e-06,1.1813140976704656e-06,1.8702171407218472e-06,1.5276721585636513e-06,1.6530326522509642e-06,1.8518815177602965e-06,2.3210382430413096e-06,4.675624727375456e-06,4.783056563630114e-06,4.447979937110316e-06,4.090360236753474e-06,3.839669179038857e-06
b2571,1.1139251789869288e-06,2.1687768864505505e-06,7.514726775995601e-07,3.7720624514453994e-07,,,,,,,,,,,,,,,,,,,,,,,,2.3816782668516614e-07,1.6080180877343913e-07,2.6187254946038743e-07,1.4345856354488472e-07,3.135283277473365e-07,1.447009805494981e-07,1.1940365095048386e-07,1.800225467843867e-07,1.5129486685663128e-07,1.806426061381271e-07,1.5612446089602904e-07,1.6125068034816715e-07,1.497191600632214e-07,1.016301448458701e-07,1.8950018945677434e-07,1.6848869990531894e-07,1.6174839746161825e-07,2.341138336075169e-07,1.8035071061865786e-07,2.970530882529823e-07,1.3475524940982437e-07,1.0237289256354928e-07,1.0515826824860863e-07,8.67681846121412e-08,1.1682537015950134e-07,6.785034971329053e-08,2.779742153807885e-06,2.264220297869256e-06,1.366875128815709e-06,9.67289081181872e-07,9.104282029768305e-07
b2572,1.9987492089695523e-06,3.204114651460139e-06,1.1035349924430505e-06,5.0170470945796e-07,,,,,,,,,,,,,,,,,,,,,,,,,,1.005857547381221e-07,8.290598604862055e-08,9.317050959637626e-08,6.4868220037687e-08,9.128770785573426e-08,1.4665074640776403e-07,1.276408049178048e-07,9.9585526553798e-08,9.117023199328943e-08,1.2549343728278165e-07,9.928543663517767e-08,7.02600449182934e-08,,9.088145566505053e-08,7.758749397353777e-08,1.5348263871408296e-07,6.278020306482263e-08,6.141326068531699e-08,2.265377643177854e-07,2.2561268408340108e-07,5.4825768790785085e-08,1.814470962282684e-07,7.0505753014936e-08,1.9682256574425185e-07,,,,,
b2573,1.2249783919994216e-06,2.6558999903395535e-06,7.589903473878936e-07,5.008219266093053e-07,,7.365745933596925e-07,4.777383399019177e-07,,,5.290004690180609e-07,5.450491336989658e-07,,4.857877382721192e-07,5.506771206257745e-07,4.4392807940256834e-07,,4.21442900329983e-07,4.529586448965462e-07,,,,,,,4.49320479078298e-07,,,5.798991887294043e-07,6.625487395716883e-07,4.082224390556646e-07,3.977164898276398e-07,5.446103174574105e-07,3.721007374033662e-07,3.524871255100149e-07,7.312409575890842e-07,5.000238888911057e-07,5.05007449874166e-07,6.027376007258062e-07,5.196617670227459e-07,4.3179348848786983e-07,4.2071849580866264e-07,5.104258933869012e-07,6.297134400764515e-07,6.888614245711749e-07,6.775081232259787e-07,4.934017367325785e-07,8.380537643862987e-07,5.087455152911853e-07,5.793975942492132e-07,4.284371723622098e-07,3.662726081995924e-07,6.622332905457117e-07,4.578484816254378e-07,1.268551096946106e-06,1.01861482965014e-06,9.372987418808059e-07,7.358703388234771e-07,8.83658302795342e-07
b2574,1.4356402373813938e-07,1.809204348086083e-07,2.103655212618569e-07,2.1588781711636184e-07,,,1.3148556934134916e-07,,,,,,,,,,,,,,,2.9104208540303663e-07,,2.481605814006118e-07,,2.3314335817443353e-07,,,,,,,,,5.627717361461821e-08,,,,,,,5.23934567785219e-08,,5.264043037117625e-08,6.963993509965383e-08,6.223620997029941e-08,5.999486258315405e-08,1.5959624074364934e-07,1.329767300655379e-07,9.254558240169903e-08,6.397577417659657e-08,,6.66962359233043e-08,,,,,
b2575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.57871343548872e-08,,,,,,,,5.109895698097349e-08,5.239739629816124e-08,,1.0388077529174326e-07,,,,,8.353717733694465e-08,,,,,,
b2576,2.283560105407132e-06,3.3958169755716282e-06,1.8218138980433396e-06,1.0075651122600715e-06,5.936664665139096e-07,5.92185777235292e-07,5.458881636566165e-07,,,5.776222643889512e-07,6.871087615063044e-07,5.620669914626551e-07,6.094027943500757e-07,6.099963454668211e-07,5.611460060569151e-07,,5.33109630463202e-07,5.667732321801416e-07,,4.3777629211172e-07,5.880357149045256e-07,5.318592435436068e-07,4.667008917062858e-07,4.4125855820367874e-07,,4.500306956416343e-07,,4.430619757481342e-07,4.45766641414967e-07,1.1222806589738445e-06,1.0670123783660511e-06,4.4629402702799884e-07,6.288826256267495e-07,9.96679781428121e-07,5.605576842514725e-07,6.073784631344058e-07,5.23457882330079e-07,6.145300006507863e-07,5.97580535493586e-07,6.396276987143965e-07,9.933677916243482e-07,3.7207470338757547e-07,5.124639176953258e-07,5.329245589714703e-07,4.74736553874163e-07,6.469267878775591e-07,5.939204338973479e-07,3.2563335972645383e-07,7.067453788197266e-07,5.057687024610743e-07,5.070240697201374e-07,8.436527684831621e-07,9.995202478175755e-07,1.5492828133230331e-06,1.4670106576900745e-06,1.4079860469515667e-06,1.2194897197337914e-06,1.173749420363541e-06
b2579,4.184156507601251e-06,1.890987516856007e-06,4.15962298562332e-06,1.0625719049572357e-06,8.60875244670302e-06,8.365000426985694e-06,1.1919657696228553e-05,,9.353566927181908e-06,6.3673022933579194e-06,6.689314985099231e-06,4.8788422287359955e-06,6.450172764087614e-06,8.472139696158613e-06,1.0618460054718066e-05,5.347807571413663e-06,6.671183738282043e-06,8.19974140452341e-06,5.994904577151281e-06,1.2135983065813412e-05,7.072644561184487e-06,1.617316928261625e-05,4.984459015645297e-06,1.2142406366402725e-05,1.1146740809530225e-05,1.963488088120804e-05,1.2082407381426262e-05,1.1481934747720495e-06,1.2194582701330142e-06,1.8630611080997048e-06,1.898564014913829e-06,1.964845827375193e-06,2.7760316478657633e-06,2.0553152763871783e-06,7.159056290565457e-06,2.651731283666448e-06,2.4402939840209958e-06,2.6032010922339247e-06,2.7030074151553942e-06,3.2614951438648082e-06,1.7677060662230585e-06,1.9627616939195194e-06,3.1910410698188914e-06,1.595566703539392e-06,1.1799031519405838e-05,2.2221437919906194e-06,7.150651403754172e-06,1.0753415228918655e-06,2.185281728846128e-06,2.1187210108500284e-06,2.758095787642362e-06,2.773511701988475e-06,8.326353937855667e-07,7.701428557663565e-06,7.672847160477315e-06,5.952528838287967e-06,6.272006462822311e-06,1.1205065042318999e-05
b2580,1.651698065037772e-06,2.3731515071153764e-06,9.491890334015705e-07,4.6190509523594185e-07,5.782676347004139e-07,1.0520860293647638e-06,4.7488880078411547e-07,,,5.980594582772843e-07,5.599534861778224e-07,,5.424751409995764e-07,5.678633420408868e-07,5.581548206574774e-07,8.734432537936058e-07,5.403037176720464e-07,5.231946694963408e-07,5.095656375594803e-07,4.418810729314019e-07,,5.041397578685685e-07,,5.302631997343719e-07,,4.718958060805905e-07,,1.0535616260336809e-07,8.717829335418996e-08,8.96214307619287e-08,1.212261149955172e-07,1.0546573813548749e-07,1.4347581349313701e-07,1.3414303051469633e-07,1.2004186818225431e-07,1.3724902940719414e-07,1.1647566873859806e-07,1.413551521951991e-07,1.2284404667186023e-07,1.4037958165062073e-07,1.1292861852282673e-07,2.1128721038223203e-07,1.7559473156478112e-07,2.0028523221668666e-07,2.5006833415192585e-07,1.3725625766189495e-07,1.5632773368838734e-07,1.5048843635859398e-07,1.4240094941705597e-07,1.7434410540467724e-07,1.4437968969530543e-07,2.270235983370632e-07,1.2137814729285195e-07,,,,,
b2581,4.565149551661487e-06,1.0160605014602898e-05,3.0855855335619383e-06,1.951136945090084e-06,1.886224230330658e-06,1.7822900606333945e-06,1.4042484904613174e-06,,,1.6517392327828537e-06,1.6078450475348809e-06,1.348998858949962e-06,1.5007799168245884e-06,1.3756355723309958e-06,1.2732442590884678e-06,1.6862492442008668e-06,1.4084303597584486e-06,1.4247052187669862e-06,1.4778603345412276e-06,1.3537279113832722e-06,1.5766156315900011e-06,1.178302532837975e-06,1.3756059778596448e-06,1.1195091481644629e-06,,1.3206303115487065e-06,,2.618462311102634e-06,2.668624424342148e-06,2.0267579353867847e-06,2.1242028044894e-06,2.227576646102608e-06,1.5095808373019907e-06,1.7497299888361156e-06,1.7591447413247556e-06,1.819976015239622e-06,2.0451309692331963e-06,2.1517096631843666e-06,2.0869002057494654e-06,2.0798288106656392e-06,1.8264992827241756e-06,2.3465956172105696e-06,1.9759998341176023e-06,1.9945956945825623e-06,2.51917957089098e-06,2.215513876151117e-06,2.2234403392905696e-06,1.453256698950212e-06,1.7524072915734585e-06,1.7058000697224022e-06,1.4044098035542608e-06,1.7646143737857297e-06,1.7219839392110563e-06,3.5838455464774125e-06,3.310510776203265e-06,2.766608800523358e-06,2.6773925730388107e-06,2.6658694393140717e-06
b2582,1.2790413106818015e-06,2.467941859093069e-06,8.966144161094429e-07,5.854349162218067e-07,9.530716323420144e-07,9.215516672551293e-07,8.952475866442232e-07,,,8.82006352446289e-07,9.194645262702602e-07,,1.5441359549249754e-06,8.285503869112369e-07,9.884898666696977e-07,,,6.810474133297203e-07,,8.470254345194879e-07,1.1497783145236357e-06,8.409769417209667e-07,,9.662047750390086e-07,,8.247278690643373e-07,,1.8476640456560822e-07,4.794177142464905e-07,2.5143790297096667e-07,2.3081587770349826e-07,2.9433410986127966e-07,2.885049637898747e-07,2.563771455351214e-07,4.39106873954403e-07,3.3979436379794945e-07,4.6894524098306286e-07,6.769682614913558e-07,4.2007136456185056e-07,4.198617005566698e-07,2.959302211414807e-07,4.1323197304973964e-07,5.110932110808101e-07,4.554788096774915e-07,4.900899698985996e-07,4.479273139872765e-07,4.7203951126148946e-07,2.488460144690259e-07,3.483265387766976e-07,4.638052455912522e-07,3.009407093937411e-07,4.6065087974639537e-07,3.7200549792626195e-07,4.78285528618514e-07,,6.371940714251702e-07,5.147670655199788e-07,6.069521353178871e-07
b2584,1.1955107673098982e-06,1.4617377231215468e-06,6.14523646534888e-07,,8.025068487648427e-08,,1.875972731071039e-07,,,,,,,,5.801614222283824e-08,,,,,,,,,,,,,,,3.321872358294539e-07,2.3807347788283478e-07,1.0018334365201751e-07,5.3447912833750195e-08,1.4819051886181214e-07,8.826015962092304e-08,8.229394748231589e-08,6.276267615552721e-08,6.414758265379958e-08,,8.186426384106123e-08,9.169721517291646e-08,,,,,,,,,,,,,1.0155453486142925e-06,8.192998397650337e-07,3.514807382851468e-07,1.7792926135666127e-07,8.03097005444659e-08
b2585,3.2293004908297247e-06,4.910612326432768e-06,2.5040551156093638e-06,1.0241189819547033e-06,1.8593452477935848e-06,1.945691424363875e-06,2.1796066269528362e-06,1.573330436921715e-06,2.0328393697867393e-06,1.7430526636446266e-06,1.6141747133490674e-06,1.7479347125999974e-06,1.3999071587451004e-06,1.305037246722042e-06,1.5503638542626731e-06,1.5892814451567092e-06,1.0760505446555155e-06,9.072009310082983e-07,1.2340879832351678e-06,1.4552281999881825e-06,1.2400927818569188e-06,1.1424946148781917e-06,9.671540068256914e-07,1.0801729451185616e-06,1.0466150531820267e-06,1.030629908063915e-06,,4.82562674324203e-07,6.011276692539636e-07,1.7775976456089406e-06,1.3504216653691413e-06,7.453185388875316e-07,6.180530239678441e-07,1.3526263630236197e-06,9.214682708336324e-07,7.828226612334404e-07,8.160903226773538e-07,7.95314789728695e-07,7.368546160259804e-07,7.529606236966898e-07,1.0911070713629224e-06,3.1755304423388466e-07,4.765910827443859e-07,5.24402160112993e-07,4.0037381183186914e-07,6.837313206788972e-07,4.071140267041498e-07,2.8318059195743903e-07,3.791862374375508e-07,4.592725616150189e-07,4.578110206742876e-07,8.558748604215358e-07,3.817115949000461e-07,4.783056563630114e-06,4.8938094777268365e-06,3.292798361045589e-06,2.6877583614549507e-06,2.115476266033766e-06
